exp_num,experiment_id,status,hypothesis,prior,prior_label,posterior,posterior_label,surprise,surprise_label,is_surprising,parent_id,n_children,runtime_s,created_at,objective,analysis_snippet,folder
13,node_3_4,SUCCEEDED,"Generative AI Vulnerability Profile: In ATLAS cases, systems identifiable as 'Generative AI' (via keywords) are significantly more prone to 'Defense Evasion' tactics (e.g., jailbreaking) compared to Non-GenAI systems, which cluster around 'Exfiltration' or 'Collection' tactics.",0.8145,Likely True,0.4423,Maybe False,-0.4467,Strong Negative (hypothesis contradicted),True,node_2_7,3,231.3,2026-02-22T01:37:18.318882+00:00,Distinguish the adversarial threat landscape of Generative vs Predictive AI.,"The experiment successfully analyzed the relationship between Generative AI systems and 'Defense Evasion' tactics within the ATLAS dataset (n=52). 

1. **Data Classification**: 
   - **Generative AI**",EXP_013_node_3_4
14,node_3_5,SUCCEEDED,"Development Stage Governance Decay: AI systems in the 'Operational' phase show lower evidence of active risk monitoring compared to systems in the 'Development/Testing' phase, suggesting governance is treated as a one-time gate.",0.7419,Likely True,0.2527,Likely False,-0.587,Strong Negative (hypothesis contradicted),True,node_2_0,2,370.5,2026-02-22T01:37:18.325249+00:00,Investigate if governance controls are sustained post-deployment.,"The experiment was successfully executed and provided clear evidence to evaluate the 'Governance Decay' hypothesis. By implementing semantic mapping to interpret verbose text fields, the analysis over",EXP_014_node_3_5
15,node_3_6,SUCCEEDED,"The 'Legacy Governance' Gap: Federal AI systems initiated before 2020 are significantly less likely to have a recorded 'Impact Assessment' than systems initiated post-2020, indicating a lack of retroactive governance application.",0.8387,Likely True,0.2857,Likely False,-0.6636,Strong Negative (hypothesis contradicted),True,node_2_6,2,268.6,2026-02-22T01:43:30.473677+00:00,Quantify the governance gap between legacy and modern AI systems.,"The experiment successfully tested the 'Legacy Governance' Gap hypothesis using the `eo13960_scored` dataset. Out of 1,757 records, 1,191 (67.8%) had parseable initiation dates. The analysis compared ",EXP_015_node_3_6
16,node_3_7,SUCCEEDED,"Harm Domain Locality: The 'Physical' harm domain is almost exclusively isolated to the 'Transportation' and 'Industrial' sectors, whereas 'Psychological' harm is distributed broadly across 'Social Media', 'Healthcare', and 'Entertainment'.",0.2581,Likely False,0.1044,Likely False,-0.1844,Mild Negative (hypothesis weakened),True,node_2_1,3,324.6,2026-02-22T01:43:30.474581+00:00,"Verify the hypothesis by deriving 'Physical' and 'Psychological' harm categories from 'Tangible Harm' and 'Special Interest Intangible Harm' columns, calculating the entropy of their sector distributions, and checking specific sector concentrations.",The experiment successfully processed the AIID dataset to test the 'Harm Domain Locality' hypothesis. The results largely **refute** the hypothesis regarding the distribution and isolation of harm typ,EXP_016_node_3_7
17,node_4_0,SUCCEEDED,"User Agency Bundle: The provision of an 'Opt-Out' mechanism is strongly correlated with the existence of an 'Appeal Process', indicating that organizations typically deploy user-rights controls as a unified set rather than in isolation.",0.7581,Likely True,0.9176,Definitely True,0.1914,Mild Positive (hypothesis somewhat supported),True,node_3_0,1,184.8,2026-02-22T01:48:56.605272+00:00,Explore the clustering of user-centric control mechanisms in federal AI systems.,"The experiment successfully tested the 'User Agency Bundle' hypothesis using the EO 13960 dataset. The code processed 1,757 federal AI use cases, converting the 'Opt-Out' (Section 67) and 'Appeal Proc",EXP_017_node_4_0
18,node_3_8,SUCCEEDED,The Intentionality of Greed: AI incidents resulting in 'Financial' harm are significantly more likely to be intentional acts compared to incidents resulting in 'Physical' or 'Civil Rights' harm.,0.75,Likely True,0.2995,Likely False,-0.5407,Strong Negative (hypothesis contradicted),True,node_2_4,3,469.4,2026-02-22T01:48:56.606527+00:00,Determine if the domain of harm predicts the intentionality of the AI incident.,The experiment was successfully executed using a text-mining approach to overcome missing structured labels for Harm Domains. The analysis processed 191 AIID incidents that had valid 'Intentional Harm,EXP_018_node_3_8
19,node_3_9,SUCCEEDED,"Incidents involving Generative AI technologies result in 'Intangible' harms (e.g., bias, reputation) significantly more often than traditional Discriminative AI, which skews towards 'Tangible' harms.",0.7419,Likely True,0.5824,Maybe True,-0.1914,Mild Negative (hypothesis weakened),True,node_2_3,2,302.0,2026-02-22T01:56:47.687143+00:00,Compare harm domains between Generative and Discriminative AI incidents.,The experiment successfully analyzed the AIID dataset to test if Generative AI incidents skew towards 'Intangible' harms compared to Traditional AI. Utilizing the metadata-verified columns 'Tangible H,EXP_019_node_3_9
20,node_4_1,SUCCEEDED,Crisis Governance Regression: AI systems implemented during the COVID-19 emergency (2020-2021) exhibit statistically lower rates of 'Impact Assessment' compliance compared to systems implemented in the post-crisis period (2022-2023).,0.7419,Likely True,0.2527,Likely False,-0.587,Strong Negative (hypothesis contradicted),True,node_3_2,2,248.8,2026-02-22T01:56:47.688401+00:00,Determine if the urgency of the pandemic era correlated with reduced procedural governance (Impact Assessments).,The experiment successfully analyzed 311 valid EO13960 records from 2020 to 2023 to test the 'Crisis Governance Regression' hypothesis. The results **do not support** the hypothesis that the crisis pe,EXP_020_node_4_1
21,node_3_10,SUCCEEDED,"Malice by Sector: 'Intentional' AI incidents (malicious use) in the AIID dataset are significantly more likely to occur in the 'Defense/Security' and 'Government' sectors, whereas 'Unintentional' incidents (accidents) are statistically clustered in 'Transportation' and 'Healthcare'.",0.7581,Likely True,0.3516,Maybe False,-0.4877,Strong Negative (hypothesis contradicted),True,node_2_2,2,575.5,2026-02-22T02:01:51.242680+00:00,Analyze the association between harm intentionality and deployment sector with robust error handling for sparse data.,"The experiment successfully analyzed the relationship between harm intentionality and deployment sector using the AIID dataset. After correcting for data matching issues in previous attempts, the anal",EXP_021_node_3_10
22,node_4_2,SUCCEEDED,"The 'Sectoral Ethics' Divergence: Federal AI deployments in the 'Health' topic area are significantly more likely to implement 'Disparity Mitigation' controls (C62) compared to those in 'Law Enforcement/Justice', reflecting domain-specific ethical standards.",0.6774,Maybe True,0.2308,Likely False,-0.536,Strong Negative (hypothesis contradicted),True,node_3_1,2,300.1,2026-02-22T02:01:51.247814+00:00,Evaluate sector-specific variations in ethical AI compliance.,The experiment successfully loaded the EO 13960 dataset and classified AI systems into 'Health' (n=233) and 'Law Enforcement/Justice' (n=86) sectors. Upon analyzing the 'Disparity Mitigation' control ,EXP_022_node_4_2
23,node_4_3,SUCCEEDED,"Autonomy-Failure Correlation: High-autonomy systems (Level 3+) primarily fail due to 'Robustness' issues (e.g., environmental adaptation), whereas Low-autonomy systems (Level 1) fail due to 'Human-Machine Interaction' or 'Operator Error'.",0.7823,Likely True,0.2995,Likely False,-0.5794,Strong Negative (hypothesis contradicted),True,node_3_3,2,213.9,2026-02-22T02:11:28.452115+00:00,Investigate the relationship between system autonomy levels and technical failure mechanisms.,"The experiment successfully tested the relationship between autonomy levels and technical failure types. The code correctly loaded the dataset, filtered for AIID incidents, and mapped autonomy levels ",EXP_023_node_4_3
24,node_3_11,SUCCEEDED,Legacy Gap: AI systems in the 'Operation and Maintenance' phase are significantly less likely to have a documented 'Impact Assessment' compared to systems currently in the 'Development/Acquisition' phase.,0.9274,Definitely True,0.3159,Maybe False,-0.7338,Strong Negative (hypothesis contradicted),True,node_2_5,2,211.8,2026-02-22T02:11:28.454033+00:00,Determine if governance compliance decays or is lower for legacy/operational systems compared to those under active development.,"The experiment successfully tested the 'Legacy Gap' hypothesis using the EO 13960 dataset. The code filtered 1,757 records down to 998 relevant entries, categorizing them into 'Operation' (627 records",EXP_024_node_3_11
25,node_4_4,SUCCEEDED,"Sector-Specific Justice: 'Enforcement' agencies (e.g., DHS, DOJ) have significantly lower 'Appeal Process' availability for their AI systems compared to 'Benefits' agencies (e.g., HHS, VA, Education).",0.7823,Likely True,0.2665,Likely False,-0.6189,Strong Negative (hypothesis contradicted),True,node_3_5,3,250.2,2026-02-22T02:15:04.133203+00:00,Compare procedural justice mechanisms (appeals) across agency sectors.,"The experiment was successfully executed and provided a definitive, albeit counter-intuitive, answer to the hypothesis. 

1. **Hypothesis Rejection**: The hypothesis stated that 'Enforcement' agencies",EXP_025_node_4_4
26,node_3_12,SUCCEEDED,"Autonomy-Failure Alignment: Incidents involving 'High Autonomy' systems are statistically correlated with 'Specification/Objective' failures, whereas 'Low Autonomy' systems correlate with 'Human-Computer Interaction' failures.",0.75,Likely True,0.4203,Maybe False,-0.3956,Strong Negative (hypothesis contradicted),True,node_2_0,2,355.9,2026-02-22T02:15:04.138691+00:00,Map the relationship between AI autonomy levels and technical failure modes.,"The experiment successfully mapped autonomy levels and failure modes for 91 AIID incidents, utilizing specific schema mappings (e.g., 'Autonomy3' to High, 'Autonomy1' to Low) identified in previous st",EXP_026_node_3_12
27,node_3_13,SUCCEEDED,"The 'Autonomy-Severity' Escalation: Incidents involving systems with 'High' autonomy levels are associated with a statistically significant increase in the occurrence of 'Physical' harm compared to 'Low' autonomy systems, which primarily cause 'Intangible' harm.",0.621,Maybe True,0.2115,Likely False,-0.4913,Strong Negative (hypothesis contradicted),True,node_2_6,2,308.4,2026-02-22T02:21:01.709588+00:00,"Test if higher AI autonomy correlates with more severe, physical harms.",The experiment successfully tested the 'Autonomy-Severity' Escalation hypothesis using the AIID incidents dataset. After correcting the mapping logic to interpret 'Autonomy3' as 'High' and 'Autonomy1/,EXP_027_node_3_13
28,node_4_5,SUCCEEDED,"The 'Operational Governance' Gate: AI systems in the 'Operation' stage are significantly more likely to have undergone an 'Independent Evaluation' than systems in 'Development' or 'Pilot' stages, suggesting that rigorous governance is treated as a late-stage gatekeeper rather than a continuous lifecycle process.",0.7419,Likely True,0.9121,Definitely True,0.2042,Mild Positive (hypothesis somewhat supported),True,node_3_6,1,335.8,2026-02-22T02:21:01.760903+00:00,Determine if Independent Evaluation is correlated with the development lifecycle stage.,"The experiment successfully tested the 'Operational Governance' Gate hypothesis using the EO 13960 dataset.

**Hypothesis Status:** Supported.

**Findings:**
1. **Data Processing:** 1,620 systems were",EXP_028_node_4_5
29,node_4_6,SUCCEEDED,"Commercial Opacity: Government AI systems procured from commercial vendors are significantly less likely to have accessible code compared to systems developed in-house, indicating a transparency trade-off in procurement.",0.9839,Definitely True,0.9945,Definitely True,0.0128,Neutral (no significant belief shift),False,node_3_4,1,217.2,2026-02-22T02:26:39.601221+00:00,Assess the transparency gap between commercial and custom government AI systems.,The experiment successfully tested the 'Commercial Opacity' hypothesis using the EO 13960 dataset (n=950). By using `37_custom_code` as a proxy for procurement type (where 'No' indicates COTS/Commerci,EXP_029_node_4_6
30,node_3_14,SUCCEEDED,"Privacy Oversight Evasion: 'Law Enforcement' AI deployments containing PII are significantly more likely to bypass 'SAOP Review' (Senior Agency Official for Privacy) compared to 'Benefits/Services' deployments, indicating a security-exemption culture.",0.7661,Likely True,0.283,Likely False,-0.5798,Strong Negative (hypothesis contradicted),True,node_2_7,3,206.9,2026-02-22T02:26:39.603396+00:00,Detect patterns of governance avoidance in sensitive sectors.,"The experiment successfully tested the 'Privacy Oversight Evasion' hypothesis using the EO 13960 dataset. After filtering for systems containing PII, 117 relevant cases were identified (84 in Benefits",EXP_030_node_3_14
31,node_4_7,SUCCEEDED,"The Legacy Governance Gap: Operational AI systems (Legacy) show statistically lower compliance with modern 'Equity' controls (bias mitigation, stakeholder consultation) compared to systems in the 'Development' or 'Planning' stages, indicating a regulatory lag.",0.75,Likely True,0.3984,Maybe False,-0.422,Strong Negative (hypothesis contradicted),True,node_3_7,1,418.3,2026-02-22T02:30:19.362908+00:00,"Assess whether older, operational systems are retrofitted with modern governance controls, correcting previous data parsing errors to ensure valid compliance scoring.","The experiment was successfully executed with improved data parsing logic. By implementing keyword-based scoring for the free-text governance columns, the code successfully extracted non-zero complian",EXP_031_node_4_7
32,node_3_15,SUCCEEDED,"The Deployment-Governance Gap: AI systems listed as 'Operational' in the EO13960 inventory have lower 'Continuous Monitoring' compliance rates compared to systems in the 'Development' phase, suggesting a 'deploy-and-forget' dynamic.",0.6935,Maybe True,0.3846,Maybe False,-0.3707,Strong Negative (hypothesis contradicted),True,node_2_1,2,317.6,2026-02-22T02:31:22.018257+00:00,Investigate if governance controls related to monitoring drop off after a system transitions from development to operation.,The code successfully loaded the 'astalabs_discovery_all_data.csv' dataset and filtered for the 'eo13960_scored' table. It identified 627 systems in the 'Operational' stage and 351 in the 'Development,EXP_032_node_3_15
33,node_4_8,SUCCEEDED,"Agency AI Culture (Build vs. Buy): Defense and Security agencies (e.g., DOD, DHS) have a significantly higher reliance on 'Custom' AI compared to Civilian agencies, which rely more on 'Commercial' solutions.",0.871,Likely True,0.4615,Uncertain,-0.4913,Strong Negative (hypothesis contradicted),True,node_3_11,2,365.9,2026-02-22T02:37:19.602514+00:00,Analyze procurement patterns (Build vs. Buy) across government sectors using corrected agency classification logic to avoid previous misclassification errors.,"The experiment was successfully re-run with strict agency mapping, effectively removing the 'United States Agency for International Development' (USAID) contamination. The 'Defense/Security' category ",EXP_033_node_4_8
34,node_3_16,SUCCEEDED,"PII Privacy-Fairness Disconnect: The presence of PII (`29_contains_pii`) in a system is not a statistically significant predictor of the implementation of 'Bias Mitigation' (`55_disparity_mitigation`), suggesting privacy controls are decoupled from fairness controls.",0.7339,Likely True,0.25,Likely False,-0.5806,Strong Negative (hypothesis contradicted),True,node_2_5,2,314.1,2026-02-22T02:37:19.603831+00:00,Assess if privacy sensitivity drives broader ethical governance (fairness).,"The experiment successfully tested the 'Privacy-Fairness Disconnect' hypothesis using the 'eo13960_scored' dataset. By implementing a text-parsing logic for the '62_disparity_mitigation' column, the a",EXP_034_node_3_16
35,node_3_17,SUCCEEDED,"The Vendor Transparency Deficit: Government AI systems procured from commercial vendors are significantly less likely to provide code access compared to custom-developed systems, creating a transparency barrier.",0.9839,Definitely True,0.9945,Definitely True,0.0128,Neutral (no significant belief shift),False,node_2_4,2,328.0,2026-02-22T02:43:27.407146+00:00,Compare the rate of code access availability between commercial and non-commercial AI procurements in the EO 13960 dataset.,The experiment successfully tested the 'Vendor Transparency Deficit' hypothesis by analyzing 956 valid records from the EO 13960 dataset. The code classified systems into 'Commercial/COTS' (n=81) and ,EXP_035_node_3_17
36,node_4_9,SUCCEEDED,"Commercial AI 'Black Boxes': AI systems procured commercially (COTS) exhibit significantly lower Tier 2 Governance scores (deep safeguards like bias mitigation and independent evaluation) compared to custom-developed systems, due to lack of vendor transparency.",0.7419,Likely True,0.2527,Likely False,-0.587,Strong Negative (hypothesis contradicted),True,node_3_8,2,351.5,2026-02-22T02:43:27.408243+00:00,Compare deep governance compliance (Tier 2 scores) between Commercial and Custom AI systems using '22_dev_method' as the grouping variable and text-mining the governance columns.,"The experiment was successfully executed using '22_dev_method' as the grouping variable, resolving the previous data error. The analysis processed 920 records (481 Commercial, 439 Custom). The text-mi",EXP_036_node_4_9
37,node_4_10,SUCCEEDED,"Biometric Bias Awareness: AI systems involving biometric data (e.g., Facial Recognition) have a significantly higher rate of 'Disparity Mitigation' compliance compared to non-biometric systems, reflecting heightened awareness of bias risks in this domain.",0.7258,Likely True,0.3681,Maybe False,-0.4292,Strong Negative (hypothesis contradicted),True,node_3_10,2,349.8,2026-02-22T02:49:20.826740+00:00,"Investigate if biometric use cases are better governed regarding bias mitigation than non-biometric cases, with robust handling for sparse compliance data.",The experiment was successfully executed. The code corrected the previous data parsing issue by implementing a text-analysis heuristic to identify 'Disparity Mitigation' compliance from free-text desc,EXP_037_node_4_10
38,node_3_18,SUCCEEDED,"Autonomy-Harm Escalation: In the AIID dataset, AI incidents involving 'High' autonomy systems (e.g., systems that act without human intervention) are statistically more likely to result in 'Severe' or 'Critical' harm levels compared to 'Low' autonomy systems (e.g., recommender systems).",0.7419,Likely True,0.4176,Maybe False,-0.3892,Strong Negative (hypothesis contradicted),True,node_2_2,2,180.8,2026-02-22T02:49:20.828493+00:00,Assess the relationship between system autonomy levels and the severity of reported harms.,The experiment successfully analyzed 177 AIID incidents where both autonomy and harm data were available. The contingency table revealed 15 severe harm cases out of 52 high-autonomy incidents (28.8%) ,EXP_038_node_3_18
39,node_4_11,SUCCEEDED,Autonomy-Harm Escalation: Incidents involving 'High Autonomy' systems are statistically more likely to result in 'Critical/Severe' harm levels compared to 'Low Autonomy' systems which cluster in 'Minor/Moderate' harm.,0.6694,Maybe True,0.272,Likely False,-0.4769,Strong Negative (hypothesis contradicted),True,node_3_12,3,316.1,2026-02-22T02:55:12.626806+00:00,Investigate the relationship between system agency (autonomy) and the severity of realized harms.,The experiment was successfully executed and robustly tested the hypothesis using a valid subset of 182 incidents. By correcting the data mapping logic (specifically using 'Tangible Harm' text descrip,EXP_039_node_4_11
40,node_5_0,SUCCEEDED,"Governance 'Rust': AI systems deployed prior to the 2020 AI Executive Order (legacy systems) demonstrate significantly lower 'Governance Readiness' scores than systems deployed post-2020, indicating a lack of retroactive compliance efforts.",0.2742,Likely False,0.0989,Definitely False,-0.2104,Mild Negative (hypothesis weakened),True,node_4_4,1,209.0,2026-02-22T02:55:12.628737+00:00,Investigate the relationship between system age and governance maturity.,"The experiment was successfully executed and provided clear data to evaluate the 'Governance Rust' hypothesis.

1.  **Hypothesis Rejection**: The hypothesis that pre-2021 'Legacy' systems would demons",EXP_040_node_5_0
41,node_3_19,SUCCEEDED,"Operational AI systems (in 'O&M' stage) demonstrate significantly lower adherence to 'Monitoring' and 'Real-World Testing' requirements compared to systems currently in 'Development', indicating a 'compliance debt' in legacy deployments.",0.7419,Likely True,0.2527,Likely False,-0.587,Strong Negative (hypothesis contradicted),True,node_2_3,2,277.0,2026-02-22T03:00:30.734150+00:00,Assess whether legacy (O&M) systems lag behind developing systems in active governance controls.,The experiment successfully tested the hypothesis regarding governance compliance across development stages. The programmer correctly implemented text-parsing logic to convert verbose descriptions in ,EXP_041_node_3_19
42,node_4_12,SUCCEEDED,Tactical Complexity Evolution: Recent adversarial cases (proxied by higher Case IDs) involve a significantly higher count of unique 'Techniques' per case than older cases.,0.6583,Maybe True,0.2417,Likely False,-0.5,Strong Negative (hypothesis contradicted),True,node_3_9,2,182.7,2026-02-22T03:00:30.738635+00:00,Determine if AI threats are becoming more sophisticated over time (or by case index).,"The debug execution confirmed the structure of the ATLAS data. The 'atlas_cases' table contains 'case_id' (e.g., 'AML.CS0000') and a pre-calculated 'n_techniques' column (e.g., 6.0). It also has a 'te",EXP_042_node_4_12
43,node_3_20,SUCCEEDED,"The 'Generative Harm' Shift: Incidents involving Generative AI technologies (e.g., LLMs, Diffusion) result in a significantly higher proportion of 'Reputational' and 'Psychological' harms compared to Discriminative AI incidents, which skew towards 'Economic' and 'Opportunity' harms.",0.7419,Likely True,0.9121,Definitely True,0.2042,Mild Positive (hypothesis somewhat supported),True,node_2_6,2,405.4,2026-02-22T03:05:09.433695+00:00,Determine if the type of AI technology (Generative vs Discriminative) correlates with the category of harm produced.,"The experiment successfully validated the 'Generative Harm Shift' hypothesis using the AIID dataset. By classifying 57 incidents based on technology type and harm category, the analysis revealed a sta",EXP_043_node_3_20
44,node_4_13,SUCCEEDED,"The 'Paperwork-Operations' Gap: Federal agencies are significantly more likely to complete bureaucratic governance steps (e.g., 'Impact Assessments') than operational assurance steps (e.g., 'Post-Deployment Monitoring'), indicating a compliance-first rather than safety-first approach.",0.7984,Likely True,0.272,Likely False,-0.6317,Strong Negative (hypothesis contradicted),True,node_3_13,2,251.0,2026-02-22T03:05:09.434732+00:00,Quantify the disparity between pre-deployment paperwork and post-deployment monitoring.,"The experiment successfully tested the 'Paperwork-Operations Gap' hypothesis using the EO 13960 dataset. Unlike the previous attempt, the programmer correctly implemented text parsing logic for the '5",EXP_044_node_4_13
45,node_4_14,SUCCEEDED,"Autonomy-Harm Escalation: In the AIID dataset, higher levels of system autonomy (e.g., 'Autonomy3') are statistically associated with a higher degree of harm realization (e.g., 'Harm Event' > 'Near Miss') compared to lower autonomy levels.",0.621,Maybe True,0.8709,Likely True,0.2999,Mild Positive (hypothesis somewhat supported),True,node_3_16,2,257.7,2026-02-22T03:11:56.554668+00:00,"Correctly map the specific labels found in the AIID dataset ('Autonomy1-3', 'Harm Event/Near-miss') to ordinal scales and re-test the correlation between autonomy and harm severity.","The experiment successfully tested the 'Autonomy-Harm Escalation' hypothesis using the correct data mappings for the AIID dataset.

1.  **Data Recovery**: By mapping specific labels (e.g., 'Autonomy1'",EXP_045_node_4_14
