3_agency,2_use_case_name,16_dev_stage,operational,orientation,TR,IR,TR_x_IR,vendor,mixed_dev,rights_safety,agency_n,topic_breadth,tr_ato,tr_internal_rev,tr_impact_assess,tr_rw_testing,tr_indep_eval,tr_postdeploy,tr_notice,tr_disparity,tr_appeal,ir_data_catalog,ir_data_docs,ir_custom_code,ir_code_access,ir_infra,ir_timely_res,ir_reuse
Department of Homeland Security,Underwater ROV,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Wellness and Physical Fitness Application ,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,API Security Vulnerability Technology,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Cyber Threat Detection,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Multi-media Insight Tool,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Position Description Generation and Evaluation,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Source Code Development Tool,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,AI Curated Synthetic Data,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Integrated Defense and Security Solutions (IDSS),Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Advance RPM Maintenance Operating Reporter (ARMOR),Acquisition and/or Development,0,0.7881298202108378,0,0,0,0,0,1,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,RAPTOR (Rapid Tactical Operations Reconnaissance),Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Vessel Detection,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,AI for Autonomous Situational Awareness,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,RVSS Legacy Overhauled System Project,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Agent Portable Surveillance,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Open-Source News Aggregation,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Autonomous Aerostat,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Geospatial Imagery Utilizing Annotation,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Use of technology to identify proof of life,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Integrated Digital Environment,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Data and Entity Resolution,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Port of Entry Risk Assessments,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Traveler Verification Service (TVS),Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,I4 Viewer Matroid Image Analysis,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Autonomous Maritime Awareness,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Advanced Trade Analytics Platform (ATAP),Operation and Maintenance,1,0.7881298202108378,2,7,14,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Department of Homeland Security,CBP Employee Experience,Operation and Maintenance,1,0.7881298202108378,2,5,10,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Department of Homeland Security,Passive Body Scanner,Operation and Maintenance,1,0.7881298202108378,3,3,9,1,0,1,183,8,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Department of Homeland Security,Unmanned Aircraft Collision Avoidance (Skydio),Operation and Maintenance,1,0.7881298202108378,2,2,4,0,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Department of Homeland Security,CBP Translate,Operation and Maintenance,1,0.7881298202108378,2,3,6,0,0,1,183,8,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Department of Homeland Security,Entity Resolution,Operation and Maintenance,1,0.7881298202108378,1,4,4,1,0,0,183,8,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Department of Homeland Security,Supervised Traveler Identity Verification Services (Officer Initiated),Operation and Maintenance,1,0.7881298202108378,9,6,54,1,0,1,183,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Department of Homeland Security,Semi-Supervised Traveler Identity Verification Services (Traveler Initiated),Operation and Maintenance,1,0.7881298202108378,9,6,54,1,0,1,183,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Department of Homeland Security,3rd Party Traveler Identity Verification Services,Operation and Maintenance,1,0.7881298202108378,9,5,45,1,0,1,183,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Department of Homeland Security,Mobile Traveler Identity Verification,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,Traveler Identity Verification Services (Vetting),Operation and Maintenance,1,0.7881298202108378,9,6,54,1,0,1,183,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Department of Homeland Security,Customs Broker License Exam - Proctor Support,Operation and Maintenance,1,0.7881298202108378,1,2,2,1,0,0,183,8,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Department of Homeland Security,ERNIE,Operation and Maintenance,1,0.7881298202108378,4,7,28,1,0,1,183,8,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1
Department of Homeland Security,Autonomous Surveillance Tower (AST),Operation and Maintenance,1,0.7881298202108378,2,5,10,0,1,0,183,8,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Department of Homeland Security,Automated Item of Interest Detection,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Department of Homeland Security,CBP One,Operation and Maintenance,1,0.7881298202108378,9,6,54,1,0,1,183,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Department of Homeland Security,Unified Processing/Mobile Intake,Operation and Maintenance,1,0.7881298202108378,9,6,54,1,0,1,183,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Department of Homeland Security,Cyber Threat Analysis (Recorded Future),Operation and Maintenance,1,0.7881298202108378,0,1,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Department of Homeland Security,Vault Access Log (SPVAA),Operation and Maintenance,1,0.7881298202108378,2,5,10,1,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Department of Homeland Security,HTS Classifier,Operation and Maintenance,1,0.7881298202108378,2,7,14,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Department of Homeland Security,CISAChat,Implementation and Assessment,1,0.7881298202108378,1,5,5,0,1,0,183,8,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Department of Homeland Security,Critical Infrastructure Network Anomaly Detection,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Malware Reverse Engineering,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Draft Tailored Summaries of Media Materials for Different Publication Channels,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Security Information and Event Management (SIEM) Alerting Models,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Advanced Analytic Enabled Forensic Investigation,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Advanced Network Anomaly Alerting,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Cyber Threat Intelligence Feed Correlation,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Cyber Incident Reporting,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Cyber Vulnerability Reporting,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,AI Security and Robustness,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Operational Activities Explorer,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Security Operation Center (SOC) Network Anomaly Detection,Operation and Maintenance,1,0.7881298202108378,2,5,10,0,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1
Department of Homeland Security,Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1
Department of Homeland Security,Confidence Scoring for Cybersecurity Threat Indicators,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1
Department of Homeland Security,Report Analysis and Archive System (RAAS),Acquisition and/or Development,0,0.7881298202108378,2,1,2,1,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Department of Homeland Security,RelativityOne,Operation and Maintenance,1,0.7881298202108378,2,2,4,1,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Department of Homeland Security,Commercial Generative AI for Text Generation (AI Chatbot),Operation and Maintenance,1,0.7881298202108378,0,1,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Department of Homeland Security,Commercial Generative AI for Image Generation,Operation and Maintenance,1,0.7881298202108378,0,1,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Department of Homeland Security,Commercial Generative AI for Code Generation,Operation and Maintenance,1,0.7881298202108378,0,1,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Department of Homeland Security,OCFO Code Assist GPT,Implementation and Assessment,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Department of Homeland Security,Geospatial Damage Assessments,Implementation and Assessment,1,0.7881298202108378,1,3,3,1,0,0,183,8,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Department of Homeland Security,Hazard Mitigation Assistance Chatbot,Acquisition and/or Development,0,0.7881298202108378,1,2,2,0,1,0,183,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Department of Homeland Security,Planning Assistant for Resilient Communities (PARC),Acquisition and/or Development,0,0.7881298202108378,1,4,4,0,1,0,183,8,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Department of Homeland Security,Recovery and Resilience Resource (RRR) Portal,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Digital Processing Procedure Manual (D-PPM),Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,FEMA OCFO GPT,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,OCFO Response Augmentation Suite,Operation and Maintenance,1,0.7881298202108378,2,7,14,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Department of Homeland Security,Incident Management Workforce Deployment Model (depmod),Operation and Maintenance,1,0.7881298202108378,1,7,7,0,1,0,183,8,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Department of Homeland Security,Individual Assistance (IA) & Public Assistance (PA) Projections,Operation and Maintenance,1,0.7881298202108378,1,5,5,0,0,0,183,8,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0
Department of Homeland Security,Voice Analytics for Investigative Data,Implementation and Assessment,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,Semantic Search and Summarization for Investigative Reports,Implementation and Assessment,1,0.7881298202108378,1,6,6,1,0,0,183,8,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,Virtual Agent Chatbot for Human Capital,Implementation and Assessment,1,0.7881298202108378,2,7,14,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Department of Homeland Security,Machine Learning Translation Technology Initiative,Acquisition and/or Development,0,0.7881298202108378,1,2,2,1,0,0,183,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Department of Homeland Security,Policy Analyst Assistant,Acquisition and/or Development,0,0.7881298202108378,2,5,10,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1
Department of Homeland Security,SEVP Response Center Chatbot - SID (SEVIS Interactive Dialog),Acquisition and/or Development,0,0.7881298202108378,2,4,8,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1
Department of Homeland Security,Title III Semantic Search and Summarization for Translated Content,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Digital Records Manager (DRM) User Assistance Chatbot,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Burlington Finance Center Voice Bot,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,RAVEn Compliance Automation Tool (CAT),Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Data Tagging and Classification,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Facial Recognition Service,Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,"Machine Translation
(Previously Language Translator)",Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Investigative Prioritization Aggregator,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,Hurricane Score,Operation and Maintenance,1,0.7881298202108378,8,5,40,0,0,1,183,8,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
Department of Homeland Security,ICE Mobile Check-in Application,Operation and Maintenance,1,0.7881298202108378,9,7,63,1,0,1,183,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Department of Homeland Security,AI Assisted Compromise Email Detector (AACED),Operation and Maintenance,1,0.7881298202108378,1,6,6,0,0,0,183,8,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,Intelligent Document Processing for Workflow Automation,Operation and Maintenance,1,0.7881298202108378,2,7,14,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Department of Homeland Security,"Cybersecurity Threat Management, Detection, and Response",Operation and Maintenance,1,0.7881298202108378,2,2,4,0,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Department of Homeland Security,Translation and Transcription for Investigative Data,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,Biometric Check-in for ATD-ISAP (SmartLINK),Operation and Maintenance,1,0.7881298202108378,9,2,18,1,0,1,183,8,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0
Department of Homeland Security,Email Analytics for Investigative Data,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,Mobile Device Analytics for Investigative Data,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,Identification Card and Travel Document Code Detection,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,Normalization Services,Operation and Maintenance,1,0.7881298202108378,2,6,12,1,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Department of Homeland Security,JES and Appropriations Insight,Acquisition and/or Development,0,0.7881298202108378,1,3,3,1,0,0,183,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Department of Homeland Security,CFO Companion,Acquisition and/or Development,0,0.7881298202108378,2,3,6,1,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Department of Homeland Security,Climate Change Assessment Tool,Acquisition and/or Development,0,0.7881298202108378,2,3,6,0,1,0,183,8,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Department of Homeland Security,Spending Analysis and Budget Execution Risk (SABER) Model,Acquisition and/or Development,0,0.7881298202108378,1,3,3,1,0,0,183,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Department of Homeland Security,AdaptiveMFA,Acquisition and/or Development,0,0.7881298202108378,2,4,8,1,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Department of Homeland Security,ESEC Inquiry (STORM) Summarization,Acquisition and/or Development,0,0.7881298202108378,2,7,14,0,0,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Department of Homeland Security,One Health Threat Detection and Risk Assessment Platform (OH-TREADS) / Planner,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Sentiment Analysis and Topic Modeling (SenTop),Retired,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,DHS-Chat,Operation and Maintenance,1,0.7881298202108378,1,5,5,0,0,0,183,8,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Department of Homeland Security,User and Entity Behavior Analytics (UEBA),Operation and Maintenance,1,0.7881298202108378,2,7,14,0,1,0,183,8,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Department of Homeland Security,Text Analytics for Survey Responses (TASR),Operation and Maintenance,1,0.7881298202108378,1,3,3,0,0,0,183,8,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Department of Homeland Security,MiX Phenotyping,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,MiX Indicators,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,MiX MedINT (Medical Intelligence Dashboard and Canvas),Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening.,Implementation and Assessment,1,0.7881298202108378,8,3,24,1,0,1,183,8,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0
Department of Homeland Security,Automated Target Recognition (ATR) Developments for Standard Screening,Acquisition and/or Development,0,0.7881298202108378,1,2,2,1,0,1,183,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Department of Homeland Security,Accessible Property Screening (APS) Checkpoint CT Prohibited Items (PI) Detection,Acquisition and/or Development,0,0.7881298202108378,2,1,2,1,0,1,183,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Department of Homeland Security,Walk-Through Metal Detector (WTMD) Alternative Automated Target Recognition (ATR) Developments,Acquisition and/or Development,0,0.7881298202108378,1,2,2,1,0,1,183,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Department of Homeland Security,Conversation Training and Feedback Simulator,Acquisition and/or Development,0,0.7881298202108378,2,2,4,1,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Department of Homeland Security,Answer Engine,Acquisition and/or Development,0,0.7881298202108378,1,3,3,1,0,0,183,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Department of Homeland Security,Automated Field Data Collection,Acquisition and/or Development,0,0.7881298202108378,1,3,3,0,1,0,183,8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Department of Homeland Security,Plan of Day Staff Optimization,Acquisition and/or Development,0,0.7881298202108378,1,3,3,0,1,0,183,8,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Department of Homeland Security,TSA Contact Center Virtual Assistant,Acquisition and/or Development,0,0.7881298202108378,2,4,8,0,1,0,183,8,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Department of Homeland Security,Machine Learning Analysis Applied to Cyber Threat Hunt Data,Acquisition and/or Development,0,0.7881298202108378,2,2,4,1,0,0,183,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Department of Homeland Security,Synthetic Data for Improved Automated Threat Recognition (ATR) in Checkpoint Screening,Initiated,0,0.7881298202108378,0,0,0,0,0,1,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,OTA Automated Passenger Screening Gate System,Initiated,0,0.7881298202108378,0,0,0,0,0,0,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Homeland Security,Axon Capture Application,Initiated,0,0.7881298202108378,0,0,0,0,0,1,183,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
