competency_id,bundle,trust_sub,integration_sub,source,source_req_id,competency_statement,arch_controls
COMP-11,Trust Readiness,AI Risk Identification Capability,Eval & Red-Teaming Pipelines,NIST AI RMF 1.0,NIST-MP-5,Ability to ai risk identification capability by designing and operating eval & red-teaming pipelines to satisfy NIST AI RMF 1.0 MAP requirements.,Threat Modeling & Red-Teaming; Evaluation & Monitoring Infrastructure; GenAIOps / MLOps Lifecycle Governance
COMP-12,Trust Readiness,AI Risk Metrics & KPIs,Evaluation & Monitoring Architecture,NIST AI RMF 1.0,NIST-MS-1,Ability to ai risk metrics & kpis by designing and operating evaluation & monitoring architecture to satisfy NIST AI RMF 1.0 MEASURE requirements.,Evaluation & Monitoring Infrastructure; Audit Logging & Telemetry
COMP-13,Trust Readiness,Trustworthiness Evaluation,LLM Evaluation Gates & Benchmarks,NIST AI RMF 1.0,NIST-MS-2,Ability to trustworthiness evaluation by designing and operating llm evaluation gates & benchmarks to satisfy NIST AI RMF 1.0 MEASURE requirements.,Evaluation & Monitoring Infrastructure; Nondeterminism Controls & Output Validation; Threat Modeling & Red-Teaming
COMP-14,Integration Readiness,Performance Assurance Measurement,GenAIOps Monitoring & Observability,NIST AI RMF 1.0,NIST-MS-3,Ability to performance assurance measurement by designing and operating genaiops monitoring & observability to satisfy NIST AI RMF 1.0 MEASURE requirements.,Evaluation & Monitoring Infrastructure; GenAIOps / MLOps Lifecycle Governance; Audit Logging & Telemetry
COMP-15,Integration Readiness,Measurement Feedback Loops,Continuous Improvement & MLOps Cycles,NIST AI RMF 1.0,NIST-MS-4,Ability to measurement feedback loops by designing and operating continuous improvement & mlops cycles to satisfy NIST AI RMF 1.0 MEASURE requirements.,GenAIOps / MLOps Lifecycle Governance; Evaluation & Monitoring Infrastructure
COMP-16,Trust Readiness,AI Risk Management Planning,Incident Response & Recovery Architecture,NIST AI RMF 1.0,NIST-MG-1,Ability to ai risk management planning by designing and operating incident response & recovery architecture to satisfy NIST AI RMF 1.0 MANAGE requirements.,Incident Response & Recovery Playbooks; AI Risk Policy & Accountability Structures; GenAIOps / MLOps Lifecycle Governance
COMP-17,Trust Readiness,Risk-Benefit Optimization Governance,Agentic Workflow Orchestration Controls,NIST AI RMF 1.0,NIST-MG-2,Ability to risk-benefit optimization governance by designing and operating agentic workflow orchestration controls to satisfy NIST AI RMF 1.0 MANAGE requirements.,Single-Agent Orchestration Pattern; Multi-Agent Orchestration Pattern; Human-in-the-Loop Approval Gates; Nondeterminism Controls & Output Validation
COMP-18,Trust Readiness,Third-Party AI Risk Management,Tool-Use Boundaries & API Access Controls,NIST AI RMF 1.0,NIST-MG-3,Ability to third-party ai risk management by designing and operating tool-use boundaries & api access controls to satisfy NIST AI RMF 1.0 MANAGE requirements.,Supply Chain & Vendor Risk Controls; Tool-Use Boundaries & Least-Privilege Access
COMP-19,Integration Readiness,AI Incident Response & Recovery,Fallback & Graceful Degradation Patterns,NIST AI RMF 1.0,NIST-MG-4,Ability to ai incident response & recovery by designing and operating fallback & graceful degradation patterns to satisfy NIST AI RMF 1.0 MANAGE requirements.,Incident Response & Recovery Playbooks; Human Override & Control Mechanisms; Audit Logging & Telemetry
COMP-20,Trust Readiness,GenAI-Specific Risk Policy,RAG Architecture & Data Provenance Controls,NIST GenAI Profile,NIST-GEN-1,Ability to genai-specific risk policy by designing and operating rag architecture & data provenance controls to satisfy NIST GenAI Profile GOVERN requirements.,RAG Architecture & Data Grounding; Data Governance & Access Controls; AI Risk Policy & Accountability Structures
COMP-21,Integration Readiness,Agentic Threat Surface Mapping,Prompt Injection Defense & Tool-Call Validation,NIST GenAI Profile,NIST-GEN-2,Ability to agentic threat surface mapping by designing and operating prompt injection defense & tool-call validation to satisfy NIST GenAI Profile MAP requirements.,Prompt Management & Secret Handling; Tool-Use Boundaries & Least-Privilege Access; Threat Modeling & Red-Teaming; Single-Agent Orchestration Pattern
COMP-22,Integration Readiness,GenAI Output Quality Assurance,Output Filtering & Content Safety Gates,NIST GenAI Profile,NIST-GEN-3,Ability to genai output quality assurance by designing and operating output filtering & content safety gates to satisfy NIST GenAI Profile MEASURE requirements.,Nondeterminism Controls & Output Validation; Evaluation & Monitoring Infrastructure; RAG Architecture & Data Grounding
COMP-23,Trust Readiness,Human-in-the-Loop Governance,Human Approval Gates in Agentic Workflows,NIST GenAI Profile,NIST-GEN-4,Ability to human-in-the-loop governance by designing and operating human approval gates in agentic workflows to satisfy NIST GenAI Profile MANAGE requirements.,Human-in-the-Loop Approval Gates; Human Override & Control Mechanisms; Multi-Agent Orchestration Pattern
COMP-24,Trust Readiness,Lifecycle Risk Management Compliance,MLOps Lifecycle Governance Gates,EU AI Act (2024/1689),EU-1,Ability to lifecycle risk management compliance by designing and operating mlops lifecycle governance gates to satisfy EU AI Act (2024/1689) GOVERNANCE requirements.,GenAIOps / MLOps Lifecycle Governance; AI Risk Policy & Accountability Structures; Regulatory Compliance Documentation
COMP-25,Trust Readiness,Data Governance & Quality Assurance,Data Layer Architecture & Access Controls,EU AI Act (2024/1689),EU-2,Ability to data governance & quality assurance by designing and operating data layer architecture & access controls to satisfy EU AI Act (2024/1689) GOVERNANCE requirements.,Data Governance & Access Controls; RAG Architecture & Data Grounding; Supply Chain & Vendor Risk Controls
COMP-26,Trust Readiness,AI System Documentation & Auditability,Model Cards & System Documentation Pipelines,EU AI Act (2024/1689),EU-3,Ability to ai system documentation & auditability by designing and operating model cards & system documentation pipelines to satisfy EU AI Act (2024/1689) TRANSPARENCY requirements.,Regulatory Compliance Documentation; Audit Logging & Telemetry; GenAIOps / MLOps Lifecycle Governance
COMP-27,Trust Readiness,Operational Logging & Audit Trails,AI Telemetry & Observability Infrastructure,EU AI Act (2024/1689),EU-4,Ability to operational logging & audit trails by designing and operating ai telemetry & observability infrastructure to satisfy EU AI Act (2024/1689) TRANSPARENCY requirements.,Audit Logging & Telemetry; Evaluation & Monitoring Infrastructure
COMP-28,Integration Readiness,Transparency & Explainability Obligations,Explainability & Interpretability Modules,EU AI Act (2024/1689),EU-5,Ability to transparency & explainability obligations by designing and operating explainability & interpretability modules to satisfy EU AI Act (2024/1689) TRANSPARENCY requirements.,Regulatory Compliance Documentation; Nondeterminism Controls & Output Validation; Human-in-the-Loop Approval Gates
COMP-29,Trust Readiness,Human Override & Control Mechanisms,Human-in-the-Loop Architecture Patterns,EU AI Act (2024/1689),EU-6,Ability to human override & control mechanisms by designing and operating human-in-the-loop architecture patterns to satisfy EU AI Act (2024/1689) HUMAN OVERSIGHT requirements.,Human Override & Control Mechanisms; Human-in-the-Loop Approval Gates; Single-Agent Orchestration Pattern
COMP-30,Integration Readiness,AI Robustness & Cybersecurity Standards,Adversarial Robustness & Security Testing,EU AI Act (2024/1689),EU-7,Ability to ai robustness & cybersecurity standards by designing and operating adversarial robustness & security testing to satisfy EU AI Act (2024/1689) ACCURACY & ROBUSTNESS requirements.,Threat Modeling & Red-Teaming; Nondeterminism Controls & Output Validation; Evaluation & Monitoring Infrastructure
COMP-31,Trust Readiness,GPAI Model Compliance & Documentation,Foundation Model Governance & Vendor Management,EU AI Act (2024/1689),EU-8,Ability to gpai model compliance & documentation by designing and operating foundation model governance & vendor management to satisfy EU AI Act (2024/1689) GOVERNANCE requirements.,Supply Chain & Vendor Risk Controls; Regulatory Compliance Documentation; Data Governance & Access Controls
COMP-32,Trust Readiness,Systemic Risk Assessment & Reporting,Red-Teaming & Incident Reporting Pipelines,EU AI Act (2024/1689),EU-9,Ability to systemic risk assessment & reporting by designing and operating red-teaming & incident reporting pipelines to satisfy EU AI Act (2024/1689) GOVERNANCE requirements.,Threat Modeling & Red-Teaming; Incident Response & Recovery Playbooks; Audit Logging & Telemetry
COMP-33,Integration Readiness,Prompt Injection Defense Capability,Input Validation & Prompt Sanitization Architecture,OWASP Top 10 LLM,OWASP-1,Ability to prompt injection defense capability by designing and operating input validation & prompt sanitization architecture to satisfy OWASP Top 10 LLM SECURITY requirements.,Prompt Management & Secret Handling; Nondeterminism Controls & Output Validation; Tool-Use Boundaries & Least-Privilege Access
COMP-34,Trust Readiness,Data Confidentiality Controls,Output Filtering & PII Redaction Pipelines,OWASP Top 10 LLM,OWASP-2,Ability to data confidentiality controls by designing and operating output filtering & pii redaction pipelines to satisfy OWASP Top 10 LLM SECURITY requirements.,Data Governance & Access Controls; Nondeterminism Controls & Output Validation; Audit Logging & Telemetry
COMP-35,Trust Readiness,AI Supply Chain Security,Dependency Management & Model Provenance Controls,OWASP Top 10 LLM,OWASP-3,Ability to ai supply chain security by designing and operating dependency management & model provenance controls to satisfy OWASP Top 10 LLM SECURITY requirements.,Supply Chain & Vendor Risk Controls; Data Governance & Access Controls
COMP-36,Trust Readiness,Training Data Integrity Assurance,Data Governance & Model Integrity Verification,OWASP Top 10 LLM,OWASP-4,Ability to training data integrity assurance by designing and operating data governance & model integrity verification to satisfy OWASP Top 10 LLM SECURITY requirements.,Data Governance & Access Controls; GenAIOps / MLOps Lifecycle Governance; Threat Modeling & Red-Teaming
COMP-37,Trust Readiness,Output Validation Governance,Output Schema Validation & Downstream Integration Guards,OWASP Top 10 LLM,OWASP-5,Ability to output validation governance by designing and operating output schema validation & downstream integration guards to satisfy OWASP Top 10 LLM SECURITY requirements.,Nondeterminism Controls & Output Validation; Single-Agent Orchestration Pattern; Multi-Agent Orchestration Pattern
COMP-38,Trust Readiness,Agentic Permission Governance,Least-Privilege Tool-Access Architecture & Scope Boundaries,OWASP Top 10 LLM,OWASP-6,Ability to agentic permission governance by designing and operating least-privilege tool-access architecture & scope boundaries to satisfy OWASP Top 10 LLM SECURITY requirements.,Tool-Use Boundaries & Least-Privilege Access; Human-in-the-Loop Approval Gates; Single-Agent Orchestration Pattern; Multi-Agent Orchestration Pattern
COMP-39,Integration Readiness,System Prompt Confidentiality Controls,Prompt Management & Secret Handling Architecture,OWASP Top 10 LLM,OWASP-7,Ability to system prompt confidentiality controls by designing and operating prompt management & secret handling architecture to satisfy OWASP Top 10 LLM SECURITY requirements.,Prompt Management & Secret Handling; Data Governance & Access Controls
COMP-40,Trust Readiness,RAG Security & Embedding Integrity,Vector Store Access Controls & Embedding Validation,OWASP Top 10 LLM,OWASP-8,Ability to rag security & embedding integrity by designing and operating vector store access controls & embedding validation to satisfy OWASP Top 10 LLM SECURITY requirements.,RAG Architecture & Data Grounding; Data Governance & Access Controls; Tool-Use Boundaries & Least-Privilege Access
COMP-41,Integration Readiness,Hallucination & Misinformation Controls,Grounding Architecture (RAG) & Fact-Checking Gates,OWASP Top 10 LLM,OWASP-9,Ability to hallucination & misinformation controls by designing and operating grounding architecture (rag) & fact-checking gates to satisfy OWASP Top 10 LLM SECURITY requirements.,RAG Architecture & Data Grounding; Nondeterminism Controls & Output Validation; Evaluation & Monitoring Infrastructure
COMP-42,Trust Readiness,Resource Consumption Governance,"Rate Limiting, Quotas & Cost Controls Architecture",OWASP Top 10 LLM,OWASP-10,"Ability to resource consumption governance by designing and operating rate limiting, quotas & cost controls architecture to satisfy OWASP Top 10 LLM SECURITY requirements.",Tool-Use Boundaries & Least-Privilege Access; GenAIOps / MLOps Lifecycle Governance; Evaluation & Monitoring Infrastructure
