req_id,source,function,requirement,trust_sub,integration_sub,Single-Agent Orchestration Pattern,Multi-Agent Orchestration Pattern,Tool-Use Boundaries & Least-Privilege Access,Human-in-the-Loop Approval Gates,Nondeterminism Controls & Output Validation,RAG Architecture & Data Grounding,GenAIOps / MLOps Lifecycle Governance,Evaluation & Monitoring Infrastructure,Prompt Management & Secret Handling,Scalable Modular Architecture (Archetypes),AI Risk Policy & Accountability Structures,Threat Modeling & Red-Teaming,Incident Response & Recovery Playbooks,Audit Logging & Telemetry,Regulatory Compliance Documentation,Supply Chain & Vendor Risk Controls,Data Governance & Access Controls,Human Override & Control Mechanisms
NIST-MS-3,NIST AI RMF 1.0,MEASURE,AI system performance or assurance criteria are measured.,Performance Assurance Measurement,GenAIOps Monitoring & Observability,,,,,,,X,X,,,,,,X,,,,
NIST-MS-4,NIST AI RMF 1.0,MEASURE,Feedback about efficacy of measurement incorporated into organizational processes.,Measurement Feedback Loops,Continuous Improvement & MLOps Cycles,,,,,,,X,X,,,,,,,,,,
NIST-MG-1,NIST AI RMF 1.0,MANAGE,"A plan for managing AI risks is developed, monitored, and in place.",AI Risk Management Planning,Incident Response & Recovery Architecture,,,,,,,X,,,,X,,X,,,,,
NIST-MG-2,NIST AI RMF 1.0,MANAGE,"Strategies to maximize AI benefits and minimize negative impacts are planned, implemented, and documented.",Risk-Benefit Optimization Governance,Agentic Workflow Orchestration Controls,X,X,,X,X,,,,,,,,,,,,,
NIST-MG-3,NIST AI RMF 1.0,MANAGE,AI risks and benefits from third-party entities are managed.,Third-Party AI Risk Management,Tool-Use Boundaries & API Access Controls,,,X,,,,,,,,,,,,,X,,
NIST-MG-4,NIST AI RMF 1.0,MANAGE,"Risk treatments including response, recovery, and communication plans are put in place.",AI Incident Response & Recovery,Fallback & Graceful Degradation Patterns,,,,,,,,,,,,,X,X,,,,X
NIST-GEN-1,NIST GenAI Profile,GOVERN,"Policies address GenAI-specific risks: hallucination, data provenance, and synthetic content.",GenAI-Specific Risk Policy,RAG Architecture & Data Provenance Controls,,,,,,X,,,,,X,,,,,,X,
NIST-GEN-2,NIST GenAI Profile,MAP,"Agentic AI risks including prompt injection, tool misuse, and autonomous action boundaries are identified.",Agentic Threat Surface Mapping,Prompt Injection Defense & Tool-Call Validation,X,,X,,,,,,X,,,X,,,,,,
NIST-GEN-3,NIST GenAI Profile,MEASURE,"GenAI outputs evaluated for accuracy, bias, toxicity, and alignment with intended use.",GenAI Output Quality Assurance,Output Filtering & Content Safety Gates,,,,,X,X,,X,,,,,,,,,,
NIST-GEN-4,NIST GenAI Profile,MANAGE,Human oversight mechanisms in place for high-stakes agentic decisions.,Human-in-the-Loop Governance,Human Approval Gates in Agentic Workflows,,X,,X,,,,,,,,,,,,,,X
EU-1,EU AI Act (2024/1689),GOVERNANCE,High-risk AI systems must implement a risk management system throughout the lifecycle (Art. 9).,Lifecycle Risk Management Compliance,MLOps Lifecycle Governance Gates,,,,,,,X,,,,X,,,,X,,,
EU-2,EU AI Act (2024/1689),GOVERNANCE,High-risk AI systems must use high-quality data with appropriate data governance (Art. 10).,Data Governance & Quality Assurance,Data Layer Architecture & Access Controls,,,,,,X,,,,,,,,,,X,X,
EU-3,EU AI Act (2024/1689),TRANSPARENCY,High-risk AI systems must maintain technical documentation sufficient to assess compliance (Art. 11).,AI System Documentation & Auditability,Model Cards & System Documentation Pipelines,,,,,,,X,,,,,,,X,X,,,
EU-4,EU AI Act (2024/1689),TRANSPARENCY,High-risk AI systems must enable logging of events throughout operation (Art. 12).,Operational Logging & Audit Trails,AI Telemetry & Observability Infrastructure,,,,,,,,X,,,,,,X,,,,
EU-5,EU AI Act (2024/1689),TRANSPARENCY,High-risk AI systems must be transparent and provide information to deployers (Art. 13).,Transparency & Explainability Obligations,Explainability & Interpretability Modules,,,,X,X,,,,,,,,,,X,,,
EU-6,EU AI Act (2024/1689),HUMAN OVERSIGHT,High-risk AI systems must allow effective human oversight including ability to intervene and override (Art. 14).,Human Override & Control Mechanisms,Human-in-the-Loop Architecture Patterns,X,,,X,,,,,,,,,,,,,,X
EU-7,EU AI Act (2024/1689),ACCURACY & ROBUSTNESS,"High-risk AI systems must achieve appropriate accuracy, robustness, and cybersecurity (Art. 15).",AI Robustness & Cybersecurity Standards,Adversarial Robustness & Security Testing,,,,,X,,,X,,,,X,,,,,,
EU-8,EU AI Act (2024/1689),GOVERNANCE,GPAI model providers must maintain technical documentation and comply with copyright law (Art. 53).,GPAI Model Compliance & Documentation,Foundation Model Governance & Vendor Management,,,,,,,,,,,,,,,X,X,X,
EU-9,EU AI Act (2024/1689),GOVERNANCE,GPAI models with systemic risk must perform adversarial testing and incident reporting (Art. 55).,Systemic Risk Assessment & Reporting,Red-Teaming & Incident Reporting Pipelines,,,,,,,,,,,,X,X,X,,,,
OWASP-1,OWASP Top 10 LLM,SECURITY,LLM01 Prompt Injection: Attackers manipulate LLMs via crafted inputs to cause unintended actions.,Prompt Injection Defense Capability,Input Validation & Prompt Sanitization Architecture,,,X,,X,,,,X,,,,,,,,,
OWASP-2,OWASP Top 10 LLM,SECURITY,LLM02 Sensitive Information Disclosure: LLMs may reveal confidential data in responses.,Data Confidentiality Controls,Output Filtering & PII Redaction Pipelines,,,,,X,,,,,,,,,X,,,X,
OWASP-3,OWASP Top 10 LLM,SECURITY,LLM03 Supply Chain Vulnerabilities: LLM pipelines depend on third-party components with potential vulnerabilities.,AI Supply Chain Security,Dependency Management & Model Provenance Controls,,,,,,,,,,,,,,,,X,X,
OWASP-4,OWASP Top 10 LLM,SECURITY,LLM04 Data and Model Poisoning: Training data or model weights manipulated to introduce vulnerabilities.,Training Data Integrity Assurance,Data Governance & Model Integrity Verification,,,,,,,X,,,,,X,,,,,X,
OWASP-5,OWASP Top 10 LLM,SECURITY,LLM05 Improper Output Handling: Insufficient validation of LLM outputs before passing to downstream systems.,Output Validation Governance,Output Schema Validation & Downstream Integration Guards,X,X,,,X,,,,,,,,,,,,,
OWASP-6,OWASP Top 10 LLM,SECURITY,LLM06 Excessive Agency: LLM agents granted excessive permissions or autonomy beyond what is needed.,Agentic Permission Governance,Least-Privilege Tool-Access Architecture & Scope Boundaries,X,X,X,X,,,,,,,,,,,,,,
OWASP-7,OWASP Top 10 LLM,SECURITY,LLM07 System Prompt Leakage: System prompts containing sensitive instructions are exposed.,System Prompt Confidentiality Controls,Prompt Management & Secret Handling Architecture,,,,,,,,,X,,,,,,,,X,
OWASP-8,OWASP Top 10 LLM,SECURITY,LLM08 Vector and Embedding Weaknesses: Vulnerabilities in vector stores and embedding pipelines.,RAG Security & Embedding Integrity,Vector Store Access Controls & Embedding Validation,,,X,,,X,,,,,,,,,,,X,
OWASP-9,OWASP Top 10 LLM,SECURITY,LLM09 Misinformation: LLMs produce factually incorrect content presented as authoritative.,Hallucination & Misinformation Controls,Grounding Architecture (RAG) & Fact-Checking Gates,,,,,X,X,,X,,,,,,,,,,
OWASP-10,OWASP Top 10 LLM,SECURITY,LLM10 Unbounded Consumption: LLM applications vulnerable to resource exhaustion and denial-of-service.,Resource Consumption Governance,"Rate Limiting, Quotas & Cost Controls Architecture",,,X,,,,X,X,,,,,,,,,,
