case_id,name,summary,type,n_tactics,n_techniques,n_mitigations,tactics,techniques,mitigations,mckinsey_constraints_touched
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,"MITRE's AI Red Team demonstrated a physical-domain evasion attack on a commercial face identification service with the intention of inducing a targeted misclassification.
This operation had a combination of traditional MITRE ATT&CK techniques such as finding valid accounts and executing code via an ",,7,10,0,{{discovery.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{reconnaissance.id}}|{{resource_development.id}},AML.T0008.003|{{acquire_ml_artifacts_data.id}}|{{craft_adv_whitebox.id}}|{{discover_model_ontology.id}}|{{evade_model.id}}|{{inference_api.id}}|{{physical_env.id}}|{{train_proxy_model.id}}|{{valid_accounts.id}}|{{victim_research.id}},,
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,"Deep learning models are increasingly used in mobile applications as critical components.
Researchers from Microsoft Research demonstrated that many deep learning models deployed in mobile apps are vulnerable to backdoor attacks via ""neural payload injection.""
They conducted an empirical study on re",,7,10,0,{{impact.id}}|{{initial_access.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{persistence.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{acquire_ml_artifacts_model.id}}|{{craft_adv_trigger.id}}|{{develop_advml.id}}|{{evade_model.id}}|{{full_access.id}}|{{inject_payload.id}}|{{physical_env.id}}|{{search_apps.id}}|{{supply_chain_model.id}}|{{verify_attack.id}},,
AML.CS0014,Confusing Antimalware Neural Networks,"Cloud storage and computations have become popular platforms for deploying ML malware detectors.
In such cases, the features for models are built on users' systems and then sent to cybersecurity company servers.
The Kaspersky ML research team explored this gray-box scenario and showed that feature k",,5,9,0,{{defense_evasion.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{acquire_ml_artifacts_data.id}}|{{craft_adv_transfer.id}}|{{develop_advml.id}}|{{evade_model.id}}|{{ml_service.id}}|{{train_proxy_model.id}}|{{verify_attack.id}}|{{victim_website.id}}|{{vuln_analysis.id}},,
AML.CS0015,Compromised PyTorch Dependency Chain,"Linux packages for PyTorch's pre-release version, called Pytorch-nightly, were compromised from December 25 to 30, 2022 by a malicious binary uploaded to the Python Package Index (PyPI) code repository.  The malicious binary had the same name as a PyTorch dependency and the PyPI package manager (pip",,3,3,0,{{collection.id}}|{{exfiltration.id}}|{{initial_access.id}},{{exfiltrate_via_cyber.id}}|{{local_system.id}}|{{supply_chain_software.id}},,
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,"The publicly available Streamlit application [MathGPT](https://mathgpt.streamlit.app/) uses GPT-3, a large language model (LLM), to answer user-generated math questions.

Recent studies and experiments have shown that LLMs such as GPT-3 show poor performance when it comes to performing exact math di",,7,9,0,{{credential_access.id}}|{{execution.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{reconnaissance.id}},{{harm_financial.id}}|{{llm_plugin_compromise.id}}|{{ml_dos.id}}|{{ml_service.id}}|{{pi_direct.id}}|{{prompt_infil.id}}|{{unsecured_credentials.id}}|{{verify_attack.id}}|{{vuln_analysis.id}},,
AML.CS0017,Bypassing ID.me Identity Verification,"An individual filed at least 180 false unemployment claims in the state of California from October 2020 to December 2021 by bypassing ID.me's automated identity verification system. Dozens of fraudulent claims were approved and the individual received at least $3.4 million in payments.

The individu",,3,3,0,{{impact.id}}|{{initial_access.id}}|{{ml_model_access.id}},{{evade_model.id}}|{{harm_financial.id}}|{{ml_service.id}},,
AML.CS0018,Arbitrary Code Execution with Google Colab,"Google Colab is a Jupyter Notebook service that executes on virtual machines.  Jupyter Notebooks are often used for ML and data science research and experimentation, containing executable snippets of Python code and common Unix command-line functionality.  In addition to data manipulation and visual",,6,8,0,{{collection.id}}|{{execution.id}}|{{exfiltration.id}}|{{impact.id}}|{{initial_access.id}}|{{resource_development.id}},{{develop_capabilities.id}}|{{exfiltrate_via_cyber.id}}|{{external_harms.id}}|{{ip_theft.id}}|{{ml_artifact_collection.id}}|{{supply_chain_software.id}}|{{user_execution.id}}|{{valid_accounts.id}},,
AML.CS0019,PoisonGPT,"Researchers from Mithril Security demonstrated how to poison an open-source pre-trained large language model (LLM) to return a false fact. They then successfully uploaded the poisoned model back to HuggingFace, the largest publicly-accessible model hub, to illustrate the vulnerability of the LLM sup",,4,7,0,{{impact.id}}|{{initial_access.id}}|{{ml_attack_staging.id}}|{{resource_development.id}},{{acquire_ml_artifacts_model.id}}|{{erode_integrity.id}}|{{harm_reputational.id}}|{{poison_model.id}}|{{publish_poisoned_model.id}}|{{supply_chain_model.id}}|{{verify_attack.id}},,
AML.CS0020,Indirect Prompt Injection Threats: Bing Chat Data Pirate,"Whenever interacting with Microsoft's new Bing Chat LLM Chatbot, a user can allow Bing Chat permission to view and access currently open websites throughout the chat session. Researchers demonstrated the ability for an attacker to plant an injection in a website the user is visiting, which silently ",,5,5,0,{{defense_evasion.id}}|{{execution.id}}|{{impact.id}}|{{initial_access.id}}|{{resource_development.id}},{{develop_capabilities.id}}|{{harm_user.id}}|{{llm_phishing.id}}|{{llm_prompt_obf.id}}|{{pi_indirect.id}},,
AML.CS0021,ChatGPT Conversation Exfiltration,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that ChatGPT users' conversations can be exfiltrated via an indirect prompt injection. To execute the attack, a threat actor uploads a malicious prompt to a public website, where a ChatGPT user may interact with it. The prompt causes Ch",,6,7,0,{{execution.id}}|{{exfiltration.id}}|{{impact.id}}|{{initial_access.id}}|{{privilege_escalation.id}}|{{resource_development.id}},{{drive_by_compromise.id}}|{{harm_user.id}}|{{llm_plugin_compromise.id}}|{{llm_prompt_crafting.id}}|{{llm_rendering.id}}|{{pi_indirect.id}}|{{stage_cap.id}},,
AML.CS0022,ChatGPT Package Hallucination,Researchers identified that large language models such as ChatGPT can hallucinate fake software package names that are not published to a package repository. An attacker could publish a malicious package under the hallucinated name to a package repository. Then users of the same or similar large lan,,6,6,0,{{discovery.id}}|{{execution.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_model_access.id}}|{{resource_development.id}},{{discover_llm_hallucinations.id}}|{{harm_user.id}}|{{inference_api.id}}|{{malicious_package.id}}|{{publish_hallucinated_entities.id}}|{{supply_chain_software.id}},,
AML.CS0023,ShadowRay,"Ray is an open-source Python framework for scaling production AI workflows. Ray's Job API allows for arbitrary remote execution by design. However, it does not offer authentication, and the default configuration may expose the cluster to the internet. Researchers at Oligo discovered that Ray cluster",,6,7,0,{{collection.id}}|{{credential_access.id}}|{{exfiltration.id}}|{{impact.id}}|{{initial_access.id}}|{{reconnaissance.id}},{{active_scanning.id}}|{{exfiltrate_via_cyber.id}}|{{exploit_public_app.id}}|{{harm_financial.id}}|{{ml_artifact_collection.id}}|{{supply_chain_model.id}}|{{unsecured_credentials.id}},,
AML.CS0024,Morris II Worm: RAG-Based Attack,"Researchers developed Morris II, a zero-click worm designed to attack generative AI (GenAI) ecosystems and propagate between connected GenAI systems. The worm uses an adversarial self-replicating prompt which uses prompt injection to replicate the prompt as output and perform malicious activity.
The",,5,7,0,{{execution.id}}|{{exfiltration.id}}|{{impact.id}}|{{ml_model_access.id}}|{{persistence.id}},AML.T0061|{{harm_user.id}}|{{inference_api.id}}|{{llm_data_leakage.id}}|{{llm_plugin_compromise.id}}|{{pi_direct.id}}|{{pi_triggered.id}},,
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,"Many recent large-scale datasets are distributed as a list of URLs pointing to individual datapoints. The researchers show that many of these datasets are vulnerable to a ""split-view"" poisoning attack. The attack exploits the fact that the data viewed when it was initially collected may differ from ",,2,6,0,{{impact.id}}|{{resource_development.id}},AML.T0008.002|AML.T0059|{{acquire_ml_artifacts_data.id}}|{{erode_integrity.id}}|{{poison_data.id}}|{{publish_poisoned_data.id}},,
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,Researchers from Zenity conducted a red teaming exercise in August 2024 that successfully manipulated Microsoft 365 Copilot.[<sup>\[1\]</sup>][1] The attack abused the fact that Copilot ingests received emails into a retrieval augmented generation (RAG) database. The researchers sent an email that c,,10,14,0,{{defense_evasion.id}}|{{discovery.id}}|{{execution.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_model_access.id}}|{{persistence.id}}|{{privilege_escalation.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{content_crafting.id}}|{{false_rag_entry.id}}|{{gather_rag_targets.id}}|{{harm_financial.id}}|{{llm_output_citations.id}}|{{llm_plugin_compromise.id}}|{{llm_prompt_crafting.id}}|{{llm_prompt_obf.id}}|{{llm_sys_chars.id}}|{{llm_sys_keywords.id}}|{{ml_service.id}}|{{pi_indirect.id}}|{{prompt_infil.id}}|{{rag_poisoning.id}},,
AML.CS0027,Organization Confusion on Hugging Face,"[threlfall_hax](https://5stars217.github.io/), a security researcher, created organization accounts on Hugging Face, a public model repository, that impersonated real organizations. These false Hugging Face organization accounts looked legitimate so individuals from the impersonated organizations re",,11,16,0,{{command_and_control.id}}|{{credential_access.id}}|{{defense_evasion.id}}|{{discovery.id}}|{{execution.id}}|{{exfiltration.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{resource_development.id}},{{discover_ml_artifacts.id}}|{{embed_malware.id}}|{{establish_accounts.id}}|{{exfiltrate_via_cyber.id}}|{{external_harms.id}}|{{full_access.id}}|{{impersonation.id}}|{{ip_theft.id}}|{{masquerading.id}}|{{obtain_advml.id}}|{{poison_model.id}}|{{publish_poisoned_model.id}}|{{reverse_shell.id}}|{{supply_chain_model.id}}|{{unsafe_ml_artifacts.id}}|{{unsecured_credentials.id}},,
AML.CS0028,AI Model Tampering via Supply Chain Attack,"Researchers at Trend Micro, Inc. used service indexing portals and web searching tools to identify over 8,000 misconfigured private container registries exposed on the internet. Approximately 70% of the registries also had overly permissive access controls that allowed write access. In their analysi",,6,9,0,{{discovery.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_model_access.id}}|{{persistence.id}}|{{reconnaissance.id}},{{discover_ml_artifacts.id}}|{{evade_model.id}}|{{exploit_public_app.id}}|{{full_access.id}}|{{inject_payload.id}}|{{ip_theft.id}}|{{poison_model.id}}|{{search_apps.id}}|{{supply_chain_registry.id}},,
AML.CS0029,Google Bard Conversation Exfiltration,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that Bard users' conversations could be exfiltrated via an indirect prompt injection. To execute the attack, a threat actor shares a Google Doc containing the prompt with the target user who then interacts with the document via Bard to ",,5,7,0,{{execution.id}}|{{exfiltration.id}}|{{impact.id}}|{{initial_access.id}}|{{resource_development.id}},{{acquire_infra.id}}|{{develop_capabilities.id}}|{{harm_user.id}}|{{llm_prompt_crafting.id}}|{{llm_rendering.id}}|{{pi_indirect.id}}|{{prompt_infil.id}},,
AML.CS0030,LLM Jacking,The Sysdig Threat Research Team discovered that malicious actors utilized stolen credentials to gain access to cloud-hosted large language models (LLMs). The actors covertly gathered information about which models were enabled on the cloud service and created a reverse proxy for LLMs that would allo,,6,6,0,{{credential_access.id}}|{{discovery.id}}|{{impact.id}}|{{initial_access.id}}|{{privilege_escalation.id}}|{{resource_development.id}},{{cloud_service_discovery.id}}|{{exploit_public_app.id}}|{{harm_financial.id}}|{{obtain_tool.id}}|{{unsecured_credentials.id}}|{{valid_accounts.id}},,
AML.CS0031,Malicious Models on Hugging Face,"Researchers at ReversingLabs have identified malicious models containing embedded malware hosted on the Hugging Face model repository. The models were found to execute reverse shells when loaded, which grants the threat actor command and control capabilities on the victim's system. Hugging Face uses",,6,6,0,{{command_and_control.id}}|{{defense_evasion.id}}|{{execution.id}}|{{initial_access.id}}|{{ml_attack_staging.id}}|{{resource_development.id}},{{corrupt_model.id}}|{{embed_malware.id}}|{{publish_poisoned_model.id}}|{{reverse_shell.id}}|{{supply_chain.id}}|{{unsafe_ml_artifacts.id}},,
AML.CS0032,Attempted Evasion of ML Phishing Webpage Detection System,"Adversaries create phishing websites that appear visually similar to legitimate sites. These sites are designed to trick users into entering their credentials, which are then sent to the bad actor. To combat this behavior, security companies utilize AI/ML-based approaches to detect phishing sites an",,4,4,0,{{defense_evasion.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_attack_staging.id}},{{craft_adv_manual.id}}|{{evade_model.id}}|{{harm_user.id}}|{{phishing.id}},,
AML.CS0033,Live Deepfake Image Injection to Evade Mobile KYC Verification,"Facial biometric authentication services are commonly used by mobile applications for user onboarding, authentication, and identity verification for KYC requirements. The iProov Red Team demonstrated a face-swapped imagery injection attack that can successfully evade live facial recognition authenti",,7,10,0,{{defense_evasion.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{establish_accounts.id}}|{{evade_model.id}}|{{gather_victim_identity.id}}|{{gen_deepfake.id}}|{{harm_financial.id}}|{{impersonation.id}}|{{ml_service.id}}|{{obtain_cap.id}}|{{obtain_genai.id}}|{{obtain_tool.id}},,
AML.CS0034,ProKYC: Deepfake Tool for Account Fraud Attacks,"Cato CTRL security researchers have identified ProKYC, a deepfake tool being sold to cybercriminals as a method to bypass Know Your Customer (KYC) verification on financial service applications such as cryptocurrency exchanges. ProKYC can create fake identity documents and generate deepfake selfie v",,7,8,0,{{defense_evasion.id}}|{{impact.id}}|{{initial_access.id}}|{{ml_attack_staging.id}}|{{ml_model_access.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{establish_accounts.id}}|{{evade_model.id}}|{{gather_victim_identity.id}}|{{gen_deepfake.id}}|{{harm_financial.id}}|{{impersonation.id}}|{{ml_service.id}}|{{obtain_genai.id}},,
AML.CS0035,Data Exfiltration from Slack AI via Indirect Prompt Injection,"[PromptArmor](https://promptarmor.substack.com) demonstrated that private data can be exfiltrated from Slack AI via indirect prompt injections. The attack relied on Slack AI ingesting a malicious prompt from a post in a public channel into its RAG database and a victim user querying Slack AI, causin",,7,8,0,{{credential_access.id}}|{{execution.id}}|{{exfiltration.id}}|{{initial_access.id}}|{{ml_model_access.id}}|{{persistence.id}}|{{resource_development.id}},{{content_crafting.id}}|{{llm_prompt_crafting.id}}|{{llm_rendering.id}}|{{ml_service.id}}|{{pi_indirect.id}}|{{rag_credentials.id}}|{{rag_poisoning.id}}|{{valid_accounts.id}},,
AML.CS0036,AIKatz: Attacking LLM Desktop Applications,"Researchers at Lumia have demonstrated that it is possible to extract authentication tokens from the memory of LLM Desktop Applications. An attacker could then use those tokens to impersonate as the victim to the LLM backed, thereby gaining access to the victim’s conversations as well as the ability",,9,12,0,{{credential_access.id}}|{{defense_evasion.id}}|{{discovery.id}}|{{execution.id}}|{{impact.id}}|{{initial_access.id}}|{{lateral_movement.id}}|{{ml_model_access.id}}|{{persistence.id}},{{alt_auth_token.id}}|{{harm_financial.id}}|{{harm_user.id}}|{{llm_memory_poisoning.id}}|{{llm_thread_poisoning.id}}|{{manip_llm_history.id}}|{{ml_dos.id}}|{{ml_service.id}}|{{os_cred_dump.id}}|{{pi_direct.id}}|{{process_discovery.id}}|{{valid_accounts.id}},,
AML.CS0037,Data Exfiltration via Agent Tools in Copilot Studio,"Researchers from Zenity demonstrated how an organization’s data can be exfiltrated via prompt injections that target an AI-powered customer service agent.

The target system is a customer service agent built by Zenity in Copilot Studio. It is modeled after an agent built by McKinsey to streamline it",,8,12,0,{{collection.id}}|{{discovery.id}}|{{execution.id}}|{{exfiltration.id}}|{{initial_access.id}}|{{ml_model_access.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{active_scanning.id}}|{{agent_activation_triggers.id}}|{{agent_embeded_knowledge.id}}|{{agent_tool_definitions.id}}|{{agent_tool_harvest.id}}|{{exfil_agent_tool.id}}|{{llm_prompt_crafting.id}}|{{llm_prompt_injection.id}}|{{ml_service.id}}|{{pi_triggered.id}}|{{prompt_infil.id}}|{{rag_data_harvest.id}},,
AML.CS0038,Planting Instructions for Delayed Automatic AI Agent Tool Invocation,[Embrace the Red](https://embracethered.com/blog/) demonstrated that Google Gemini is susceptible to automated tool invocation by delaying the execution to the next conversation turn. This bypasses a security control that restricts Gemini from invoking tools that can access sensitive user informatio,,6,6,0,{{collection.id}}|{{defense_evasion.id}}|{{execution.id}}|{{initial_access.id}}|{{privilege_escalation.id}}|{{resource_development.id}},{{agent_tool_harvest.id}}|{{delay_exec_llm.id}}|{{llm_plugin_compromise.id}}|{{llm_prompt_crafting.id}}|{{pi_indirect.id}}|{{prompt_infil.id}},,
AML.CS0039,Living Off AI: Prompt Injection via Jira Service Management,Researchers from Cato Networks demonstrated how adversaries can exploit AI-powered systems embedded in enterprise workflows to execute malicious actions with elevated privileges. This is achieved by crafting malicious inputs from external users such as support tickets that are later processed by int,,7,8,0,{{collection.id}}|{{execution.id}}|{{exfiltration.id}}|{{initial_access.id}}|{{privilege_escalation.id}}|{{reconnaissance.id}}|{{resource_development.id}},{{agent_tool_harvest.id}}|{{exfil_agent_tool.id}}|{{llm_plugin_compromise.id}}|{{llm_prompt_crafting.id}}|{{pi_indirect.id}}|{{prompt_infil.id}}|{{search_open_sites.id}}|{{victim_website.id}},,
AML.CS0040,Hacking ChatGPT’s Memories with Prompt Injection,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that ChatGPT’s memory feature is vulnerable to manipulation via prompt injections. To execute the attack, the researcher hid a prompt injection in a shared Google Doc. When a user references the document, its contents is placed into Cha",,6,6,0,{{defense_evasion.id}}|{{execution.id}}|{{impact.id}}|{{initial_access.id}}|{{persistence.id}}|{{resource_development.id}},{{harm_user.id}}|{{llm_memory_poisoning.id}}|{{llm_prompt_crafting.id}}|{{llm_prompt_obf.id}}|{{pi_indirect.id}}|{{prompt_infil.id}},,
AML.CS0041,Rules File Backdoor: Supply Chain Attack on AI Coding Assistants,Pillar Security researchers demonstrated how adversaries can compromise AI-generated code by injecting malicious instructions into rules files used to configure AI coding assistants like Cursor and GitHub Copilot. The attack uses invisible Unicode characters to hide malicious prompts that manipulate,,6,9,0,{{defense_evasion.id}}|{{execution.id}}|{{impact.id}}|{{initial_access.id}}|{{persistence.id}}|{{resource_development.id}},{{agent_modify_config.id}}|{{harm_user.id}}|{{llm_jailbreak.id}}|{{llm_output_manip.id}}|{{llm_prompt_crafting.id}}|{{llm_prompt_obf.id}}|{{pi_direct.id}}|{{stage_cap.id}}|{{supply_chain_software.id}},,
AML.CS0042,SesameOp: Novel backdoor uses OpenAI Assistants API for command and control,"The Microsoft Incident Response - Detection and Response Team (DART) investigated a compromised system where a threat actor utilized SesameOp, a backdoor implant that abuses the OpenAI Assistants API as a covert command and control channel, for espionage activities. The SesameOp malware used the Ope",,1,1,0,{{command_and_control.id}},AML.T0096,,
AML.CS0043,Malware Prototype with Embedded Prompt Injection,"Check Point Research identified a prototype malware sample in the wild that contained a prompt injection, which appeared to be designed to manipulate LLM-based malware detectors and/or analysis tools. However, the researchers did not find the prompt injection to be effective on the models they teste",,6,8,0,{{collection.id}}|{{credential_access.id}}|{{defense_evasion.id}}|{{execution.id}}|{{exfiltration.id}}|{{resource_development.id}},AML.T0097|{{develop_capabilities.id}}|{{evade_model.id}}|{{exfiltrate_via_cyber.id}}|{{llm_prompt_crafting.id}}|{{local_system.id}}|{{pi_direct.id}}|{{unsecured_credentials.id}},,
AML.CS0044,LAMEHUG: Malware Leveraging Dynamic AI-Generated Commands,"In July 2025, Ukrainian authorities reported the emergence of LAMEHUG, a new AI-powered malware attributed to the Russian state-backed threat actor [APT28](https://attack.mitre.org/groups/G0007/) (also tracked as Forest Blizzard or UAC-0001). LAMEHUG uses a large language model (LLM) to dynamically ",,7,8,0,{{collection.id}}|{{defense_evasion.id}}|{{execution.id}}|{{exfiltration.id}}|{{initial_access.id}}|{{lateral_movement.id}}|{{ml_attack_staging.id}},AML.T0102|{{exfiltrate_via_cyber.id}}|{{impersonation.id}}|{{local_system.id}}|{{masquerading.id}}|{{phishing.id}}|{{user_execution.id}}|{{valid_accounts.id}},,
AML.CS0045,Data Exfiltration via an MCP Server used by Cursor,"The Backslash Security Research Team demonstrated that a Model Context Protocol (MCP) tool can be used as a vector for an indirect prompt injection attack on Cursor, potentially leading to the execution of malicious shell commands.

The Backslash Security Research Team created a proof-of-concept MCP",,8,9,0,{{credential_access.id}}|{{defense_evasion.id}}|{{execution.id}}|{{exfiltration.id}}|{{impact.id}}|{{initial_access.id}}|{{privilege_escalation.id}}|{{resource_development.id}},{{agent_tool_config.id}}|{{drive_by_compromise.id}}|{{exfil_agent_tool.id}}|{{harm_financial.id}}|{{llm_plugin_compromise.id}}|{{llm_prompt_crafting.id}}|{{llm_prompt_obf.id}}|{{pi_indirect.id}}|{{stage_cap.id}},,
AML.CS0046,Data Destruction via Indirect Prompt Injection Targeting Claude Computer-Use,"Security researchers at HiddenLayer demonstrated that an indirect prompt injection targeting Claude’s Computer Use AI can lead to execution of shell commands on the victim system and destruction of user data.

The researchers embedded a prompt injection in a PDF file. When a user asked Claude Comput",,5,7,0,{{defense_evasion.id}}|{{execution.id}}|{{impact.id}}|{{initial_access.id}}|{{resource_development.id}},{{data_destruction_via_tool.id}}|{{llm_jailbreak.id}}|{{llm_plugin_compromise.id}}|{{llm_prompt_crafting.id}}|{{llm_prompt_obf.id}}|{{pi_indirect.id}}|{{prompt_infil.id}},,
