case_study_id,name,incident_date,type,actor,target,summary,tactics_used,techniques_used,technique_count,competency_domains,missing_controls,competency_gaps
AML.CS0010,Microsoft Azure Service Disruption,2020-01-01,exercise,Microsoft AI Red Team,Internal Microsoft Azure Service,"The Microsoft AI Red Team performed a red team exercise on an internal Azure service with the intention of disrupting its service. This operation had a combination of traditional ATT&CK enterprise techniques such as finding valid account, and exfiltrating data -- all interleaved with adversarial ML ",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0004; AML.TA0009; AML.TA0010; AML.TA0011,AML.T0000; AML.T0012; AML.T0015; AML.T0025; AML.T0035; AML.T0040; AML.T0042; AML.T0043.000,8,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0001: Limit Model Artifact Release; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0012: Encrypt Sensitive Information; AML.M0017: AI Model Distribution Methods; AML.M0000: Limit Public Release of Information,Trust Readiness -- General Governance
AML.CS0011,Microsoft Edge AI Evasion,2020-02-01,exercise,Azure Red Team,New Microsoft AI Product,The Azure Red Team performed a red team exercise on a new Microsoft product designed for running AI workloads at the edge. This exercise was meant to use an automated system to continuously manipulate a target image to cause the ML model to produce misclassifications. ,AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0011,AML.T0000; AML.T0002; AML.T0015; AML.T0040; AML.T0043.001,5,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0000: Limit Public Release of Information; AML.M0002: Passive AI Output Obfuscation; AML.M0003: Model Hardening; AML.M0004: Restrict Number of AI Model Queries; AML.M0006: Use Ensemble Methods,Trust Readiness -- General Governance
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,2020-01-01,exercise,MITRE AI Red Team,Commercial Face Identification Service,MITRE's AI Red Team demonstrated a physical-domain evasion attack on a commercial face identification service with the intention of inducing a targeted misclassification. This operation had a combination of traditional MITRE ATT&CK techniques such as finding valid accounts and executing code via an ,AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0008; AML.TA0011,AML.T0000; AML.T0002.000; AML.T0005; AML.T0008.003; AML.T0012; AML.T0013; AML.T0015; AML.T0040; AML.T0041; AML.T0043.000,10,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0002: Passive AI Output Obfuscation; AML.M0004: Restrict Number of AI Model Queries; AML.M0000: Limit Public Release of Information; AML.M0019: Control Access to AI Models and Data in Production; AML.M0024: AI Telemetry Logging,Trust Readiness -- General Governance
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,2021-01-18,exercise,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",ML-based Android Apps,"Deep learning models are increasingly used in mobile applications as critical components. Researchers from Microsoft Research demonstrated that many deep learning models deployed in mobile apps are vulnerable to backdoor attacks via ""neural payload injection."" They conducted an empirical study on re",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0006; AML.TA0011,AML.T0002.001; AML.T0004; AML.T0010.003; AML.T0015; AML.T0017.000; AML.T0018.001; AML.T0041; AML.T0042; AML.T0043.004; AML.T0044,10,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Persistence Detection & Monitoring; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0001: Limit Model Artifact Release; AML.M0014: Verify AI Artifacts; AML.M0009: Use Multi-Modal Sensors; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods,Trust Readiness -- General Governance
AML.CS0014,Confusing Antimalware Neural Networks,2021-06-23,exercise,Kaspersky ML Research Team,Kaspersky's Antimalware ML Model,"Cloud storage and computations have become popular platforms for deploying ML malware detectors. In such cases, the features for models are built on users' systems and then sent to cybersecurity company servers. The Kaspersky ML research team explored this gray-box scenario and showed that feature k",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0007,AML.T0001; AML.T0002.000; AML.T0003; AML.T0005; AML.T0015; AML.T0017.000; AML.T0042; AML.T0043.002; AML.T0047,9,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0024: AI Telemetry Logging,Trust Readiness -- General Governance
AML.CS0015,Compromised PyTorch Dependency Chain,2022-12-25,incident,Unknown,PyTorch,"Linux packages for PyTorch's pre-release version, called Pytorch-nightly, were compromised from December 25 to 30, 2022 by a malicious binary uploaded to the Python Package Index (PyPI) code repository.  The malicious binary had the same name as a PyTorch dependency and the PyPI package manager (pip",AML.TA0004; AML.TA0009; AML.TA0010,AML.T0010.001; AML.T0025; AML.T0037,3,Integration Readiness -- Access Boundary & Initial Access Controls; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Data Exfiltration Controls,AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0005: Control Access to AI Models and Data at Rest,Trust Readiness -- General Governance
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,2023-01-28,exercise,Ludwig-Ferdinand Stumpp,MathGPT (https://mathgpt.streamlit.app/),"The publicly available Streamlit application [MathGPT](https://mathgpt.streamlit.app/) uses GPT-3, a large language model (LLM), to answer user-generated math questions.  Recent studies and experiments have shown that LLMs such as GPT-3 show poor performance when it comes to performing exact math di",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0004; AML.TA0005; AML.TA0011; AML.TA0013,AML.T0001; AML.T0029; AML.T0042; AML.T0047; AML.T0048.000; AML.T0051.000; AML.T0053; AML.T0055; AML.T0093,9,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Trust Readiness -- General Governance
AML.CS0017,Bypassing ID.me Identity Verification,2020-10-01,incident,One individual,California Employment Development Department,An individual filed at least 180 false unemployment claims in the state of California from October 2020 to December 2021 by bypassing ID.me's automated identity verification system. Dozens of fraudulent claims were approved and the individual received at least $3.4 million in payments.  The individu,AML.TA0000; AML.TA0004; AML.TA0011,AML.T0015; AML.T0047; AML.T0048.000,3,Integration Readiness -- Access Boundary & Initial Access Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance,AML.M0024: AI Telemetry Logging; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration,Trust Readiness -- General Governance
AML.CS0018,Arbitrary Code Execution with Google Colab,2022-07-01,exercise,Tony Piazza,Google Colab,"Google Colab is a Jupyter Notebook service that executes on virtual machines.  Jupyter Notebooks are often used for ML and data science research and experimentation, containing executable snippets of Python code and common Unix command-line functionality.  In addition to data manipulation and visual",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0009; AML.TA0010; AML.TA0011,AML.T0010.001; AML.T0011; AML.T0012; AML.T0017; AML.T0025; AML.T0035; AML.T0048; AML.T0048.004,8,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Impact Containment & Recovery,AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0001: Limit Model Artifact Release; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0012: Encrypt Sensitive Information,Trust Readiness -- General Governance
AML.CS0019,PoisonGPT,2023-07-01,exercise,Mithril Security Researchers,HuggingFace Users,"Researchers from Mithril Security demonstrated how to poison an open-source pre-trained large language model (LLM) to return a false fact. They then successfully uploaded the poisoned model back to HuggingFace, the largest publicly-accessible model hub, to illustrate the vulnerability of the LLM sup",AML.TA0001; AML.TA0003; AML.TA0004; AML.TA0011,AML.T0002.001; AML.T0010.003; AML.T0018.000; AML.T0031; AML.T0042; AML.T0048.001; AML.T0058,7,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Impact Containment & Recovery,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0001: Limit Model Artifact Release,Trust Readiness -- General Governance
AML.CS0020,Indirect Prompt Injection Threats: Bing Chat Data Pirate,2023-01-01,exercise,"Kai Greshake, Saarland University",Microsoft Bing Chat,"Whenever interacting with Microsoft's new Bing Chat LLM Chatbot, a user can allow Bing Chat permission to view and access currently open websites throughout the chat session. Researchers demonstrated the ability for an attacker to plant an injection in a website the user is visiting, which silently ",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0011,AML.T0017; AML.T0048.003; AML.T0051.001; AML.T0052.000; AML.T0068,5,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Impact Containment & Recovery,AML.M0018: User Training; AML.M0034: Deepfake Detection; AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components,Trust Readiness -- General Governance
AML.CS0021,ChatGPT Conversation Exfiltration,2023-05-01,exercise,Embrace The Red,OpenAI ChatGPT,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that ChatGPT users' conversations can be exfiltrated via an indirect prompt injection. To execute the attack, a threat actor uploads a malicious prompt to a public website, where a ChatGPT user may interact with it. The prompt causes Ch",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0010; AML.TA0011; AML.TA0012,AML.T0048.003; AML.T0051.001; AML.T0053; AML.T0065; AML.T0077; AML.T0078; AML.T0079,7,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Privilege & Identity Management; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Impact Containment & Recovery,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Trust Readiness -- General Governance
AML.CS0022,ChatGPT Package Hallucination,2024-06-01,exercise,"Vulcan Cyber, Lasso Security",ChatGPT users,Researchers identified that large language models such as ChatGPT can hallucinate fake software package names that are not published to a package repository. An attacker could publish a malicious package under the hallucinated name to a package repository. Then users of the same or similar large lan,AML.TA0000; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0008; AML.TA0011,AML.T0010.001; AML.T0011.001; AML.T0040; AML.T0048.003; AML.T0060; AML.T0062,6,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance,AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0011: Restrict Library Loading; AML.M0016: Vulnerability Scanning; AML.M0018: User Training,Trust Readiness -- General Governance
AML.CS0023,ShadowRay,2023-09-05,incident,Ray,Multiple systems,"Ray is an open-source Python framework for scaling production AI workflows. Ray's Job API allows for arbitrary remote execution by design. However, it does not offer authentication, and the default configuration may expose the cluster to the internet. Researchers at Oligo discovered that Ray cluster",AML.TA0002; AML.TA0004; AML.TA0009; AML.TA0010; AML.TA0011; AML.TA0013,AML.T0006; AML.T0010.003; AML.T0025; AML.T0035; AML.T0048.000; AML.T0049; AML.T0055,7,Integration Readiness -- Access Boundary & Initial Access Controls; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Data Collection & Exfiltration Prevention; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0001: Limit Model Artifact Release; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0012: Encrypt Sensitive Information; AML.M0017: AI Model Distribution Methods; AML.M0006: Use Ensemble Methods,Trust Readiness -- General Governance
AML.CS0024,Morris II Worm: RAG-Based Attack,2024-03-05,exercise,"Stav Cohen, Ron Bitton, Ben Nassi",RAG-based e-mail assistant,"Researchers developed Morris II, a zero-click worm designed to attack generative AI (GenAI) ecosystems and propagate between connected GenAI systems. The worm uses an adversarial self-replicating prompt which uses prompt injection to replicate the prompt as output and perform malicious activity. The",AML.TA0000; AML.TA0005; AML.TA0006; AML.TA0010; AML.TA0011,AML.T0040; AML.T0048.003; AML.T0051.000; AML.T0051.002; AML.T0053; AML.T0057; AML.T0061,7,Integration Readiness -- Execution Controls & Sandboxing; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Persistence Detection & Monitoring,AML.M0008: Validate AI Model; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging,Trust Readiness -- General Governance
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,2024-06-06,exercise,"Researchers from Google Deepmind, ETH Zurich, NVIDIA, Robust Intelligence, and Google",10 web-scale datasets,"Many recent large-scale datasets are distributed as a list of URLs pointing to individual datapoints. The researchers show that many of these datasets are vulnerable to a ""split-view"" poisoning attack. The attack exploits the fact that the data viewed when it was initially collected may differ from ",AML.TA0003; AML.TA0011,AML.T0002.000; AML.T0008.002; AML.T0019; AML.T0020; AML.T0031; AML.T0059,6,Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Impact Containment & Recovery,AML.M0001: Limit Model Artifact Release; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0007: Sanitize Training Data; AML.M0008: Validate AI Model; AML.M0023: AI Bill of Materials,Trust Readiness -- General Governance
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,2024-08-08,exercise,Zenity,Microsoft 365 Copilot,Researchers from Zenity conducted a red teaming exercise in August 2024 that successfully manipulated Microsoft 365 Copilot.[<sup>\[1\]</sup>][1] The attack abused the fact that Copilot ingests received emails into a retrieval augmented generation (RAG) database. The researchers sent an email that c,AML.TA0000; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0008; AML.TA0011; AML.TA0012,AML.T0047; AML.T0048.000; AML.T0051.001; AML.T0053; AML.T0064; AML.T0065; AML.T0066; AML.T0067.000; AML.T0068; AML.T0069.000; AML.T0069.001; AML.T0070; AML.T0071; AML.T0093,14,Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Privilege & Identity Management; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Persistence Detection & Monitoring; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0024: AI Telemetry Logging; AML.M0026: Privileged AI Agent Permissions Configuration,Trust Readiness -- General Governance
AML.CS0027,Organization Confusion on Hugging Face,2023-08-23,exercise,threlfall_hax,Hugging Face users,"[threlfall_hax](https://5stars217.github.io/), a security researcher, created organization accounts on Hugging Face, a public model repository, that impersonated real organizations. These false Hugging Face organization accounts looked legitimate so individuals from the impersonated organizations re",AML.TA0000; AML.TA0001; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0008; AML.TA0010; AML.TA0011; AML.TA0013; AML.TA0014,AML.T0007; AML.T0010.003; AML.T0011.000; AML.T0016.000; AML.T0018.000; AML.T0018.002; AML.T0021; AML.T0025; AML.T0044; AML.T0048; AML.T0048.004; AML.T0055; AML.T0058; AML.T0072; AML.T0073; AML.T0074,16,Integration Readiness -- AI Attack Staging Defense; Integration Readiness -- Access Boundary & Initial Access Controls; Integration Readiness -- C2 Detection & Network Controls; Integration Readiness -- Execution Controls & Sandboxing; Integration Readiness -- Resource & Supply Chain Controls; Trust Readiness -- Credential & Secret Management; Trust Readiness -- Data Exfiltration Controls; Trust Readiness -- Defense Evasion Detection; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance,AML.M0013: Code Signing; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0012: Encrypt Sensitive Information; AML.M0006: Use Ensemble Methods; AML.M0008: Validate AI Model,Trust Readiness -- General Governance
AML.CS0028,AI Model Tampering via Supply Chain Attack,2023-09-26,exercise,Trend Micro Nebula Cloud Research Team,Private Container Registries,"Researchers at Trend Micro, Inc. used service indexing portals and web searching tools to identify over 8,000 misconfigured private container registries exposed on the internet. Approximately 70% of the registries also had overly permissive access controls that allowed write access. In their analysi",AML.TA0000; AML.TA0002; AML.TA0004; AML.TA0006; AML.TA0008; AML.TA0011,AML.T0004; AML.T0007; AML.T0010.004; AML.T0015; AML.T0018.000; AML.T0018.001; AML.T0044; AML.T0048.004; AML.T0049,9,Integration Readiness -- Access Boundary & Initial Access Controls; Trust Readiness -- Discovery & Enumeration Controls; Trust Readiness -- Impact Containment & Recovery; Trust Readiness -- Model Access Governance; Trust Readiness -- Persistence Detection & Monitoring; Trust Readiness -- Threat Intelligence & Reconnaissance Defense,AML.M0005: Control Access to AI Models and Data at Rest; AML.M0012: Encrypt Sensitive Information; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors,Trust Readiness -- General Governance
