req_id,source,function,requirement,bundle,competency_statement,Single-Agent Orchestration Pattern,Multi-Agent Orchestration Pattern,Tool-Use Boundaries & Least-Privilege Access,Human-in-the-Loop Approval Gates,Nondeterminism Controls & Output Validation,RAG Architecture & Data Grounding,GenAIOps / MLOps Lifecycle Governance,Evaluation & Monitoring Infrastructure,Prompt Management & Secret Handling,Scalable Modular Architecture (Archetypes),AI Risk Policy & Accountability Structures,Threat Modeling & Red-Teaming,Incident Response & Recovery Playbooks,Audit Logging & Telemetry,Regulatory Compliance Documentation,Supply Chain & Vendor Risk Controls,Data Governance & Access Controls,Human Override & Control Mechanisms
NIST-MG-4,NIST AI RMF 1.0,MANAGE,"Risk treatments including response, recovery, and communication plans are put in place.",Trust Readiness,"Organizations must develop and maintain incident response and recovery playbooks for AI risks, with clear escalation and communication protocols embedded in governance structures [#21, #25].",,,,,,,,,,,X,,X,,,,,
NIST-GEN-1,NIST GenAI Profile,GOVERN,"Policies address GenAI-specific risks: hallucination, data provenance, and synthetic content.",Trust Readiness,"Organizations must establish and enforce policies that specifically address generative AI risks such as hallucination, data provenance, and synthetic content, ensuring these are reflected in both governance frameworks and technical controls [#22, #12, #13].",,,,,,X,,,,,X,,,,,,X,
NIST-GEN-2,NIST GenAI Profile,MAP,"Agentic AI risks including prompt injection, tool misuse, and autonomous action boundaries are identified.",Trust Readiness,"Organizations must establish formal risk identification processes for agentic AI, including mapping prompt injection, tool misuse, and autonomy boundaries, and ensure these risks are incorporated into enterprise AI risk policies and oversight structures [#21][#15][#29].",,,X,,,,,,,,X,X,,,,,,
NIST-GEN-3,NIST GenAI Profile,MEASURE,"GenAI outputs evaluated for accuracy, bias, toxicity, and alignment with intended use.",Integration Readiness,"Organizations need to implement robust evaluation and monitoring infrastructure capable of systematically measuring GenAI outputs for accuracy, bias, toxicity, and alignment with intended use, including automated output validation pipelines [#21][#11][#29].",,,,,X,,,X,,,,,,,,,,
NIST-GEN-4,NIST GenAI Profile,MANAGE,Human oversight mechanisms in place for high-stakes agentic decisions.,Integration Readiness,Organizations must implement human-in-the-loop approval gates and override mechanisms to ensure that high-stakes agentic AI decisions are subject to effective human review and intervention before execution [#21][#15][#26].,,,,X,,,,,,,,,,,,,,X
EU-1,EU AI Act (2024/1689),GOVERNANCE,High-risk AI systems must implement a risk management system throughout the lifecycle (Art. 9).,Trust Readiness,"High-risk AI deployments require a comprehensive risk management system embedded across the AI lifecycle, supported by formal governance structures and cross-functional accountability for risk identification, mitigation, and documentation [#26][#21][#25].",,,,,,,X,,,,X,,,,,,,
EU-2,EU AI Act (2024/1689),GOVERNANCE,High-risk AI systems must use high-quality data with appropriate data governance (Art. 10).,Trust Readiness,"Organizations must establish and enforce comprehensive data governance policies, including data quality standards, provenance tracking, and access controls, to ensure that high-risk AI systems are trained and operated on high-quality, well-governed data [#26][#13][#12].",,,,,,,,,,,,,,,,,X,
EU-3,EU AI Act (2024/1689),TRANSPARENCY,High-risk AI systems must maintain technical documentation sufficient to assess compliance (Art. 11).,Trust Readiness,Providers of high-risk AI systems must maintain comprehensive technical documentation that enables regulators and auditors to assess compliance with all applicable requirements throughout the system lifecycle [#26][#25].,,,,,,,,,,,,,,,X,,,
EU-4,EU AI Act (2024/1689),TRANSPARENCY,High-risk AI systems must enable logging of events throughout operation (Art. 12).,Integration Readiness,"High-risk AI systems must implement audit logging and telemetry infrastructure to record operational events, enabling traceability, incident investigation, and regulatory oversight [#26][#15].",,,,,,,,,,,,,,X,,,,
EU-5,EU AI Act (2024/1689),TRANSPARENCY,High-risk AI systems must be transparent and provide information to deployers (Art. 13).,Trust Readiness,"Providers must ensure that high-risk AI systems are transparent to deployers, supplying clear documentation and, where applicable, technical means to explain system behavior and data provenance [#26][#13].",,,,,,X,,,,,,,,,X,,,
EU-6,EU AI Act (2024/1689),HUMAN OVERSIGHT,High-risk AI systems must allow effective human oversight including ability to intervene and override (Art. 14).,Integration Readiness,"High-risk AI systems must be engineered with effective human override and intervention mechanisms, ensuring that authorized personnel can monitor, intervene, and halt system operations when necessary [#26][#15].",,,,X,,,,,,,,,,,,,,X
EU-7,EU AI Act (2024/1689),ACCURACY & ROBUSTNESS,"High-risk AI systems must achieve appropriate accuracy, robustness, and cybersecurity (Art. 15).",Integration Readiness,"Organizations must implement technical controls for output validation, continuous monitoring, and robustness testing to ensure high-risk AI systems achieve and maintain appropriate levels of accuracy, reliability, and cybersecurity [#26][#29][#11].",,,,,X,,,X,,,,,,,,,,
EU-8,EU AI Act (2024/1689),GOVERNANCE,GPAI model providers must maintain technical documentation and comply with copyright law (Art. 53).,Trust Readiness,"Organisations must establish robust processes for maintaining comprehensive technical documentation and ensuring ongoing compliance with copyright law for GPAI models, supported by clear accountability structures and regulatory documentation practices [#26][#25].",,,,,,,,,,,X,,,,,,,
EU-9,EU AI Act (2024/1689),GOVERNANCE,GPAI models with systemic risk must perform adversarial testing and incident reporting (Art. 55).,Integration Readiness,"Providers of GPAI models with systemic risk must implement adversarial testing frameworks, continuous monitoring infrastructure, and incident response protocols to detect, report, and mitigate emergent threats in line with regulatory expectations [#26][#15].",,,,,,,,X,,,,X,X,,,,,
OWASP-1,OWASP Top 10 LLM,SECURITY,LLM01 Prompt Injection: Attackers manipulate LLMs via crafted inputs to cause unintended actions.,Integration Readiness,"Enterprises must deploy robust prompt management systems and output validation mechanisms to detect and neutralize prompt injection attacks targeting LLMs, ensuring that crafted inputs cannot subvert intended model behavior [#29][#11].",,,,,X,,,,X,,,,,,,,,
OWASP-2,OWASP Top 10 LLM,SECURITY,LLM02 Sensitive Information Disclosure: LLMs may reveal confidential data in responses.,Integration Readiness,Organisations must implement fine-grained prompt management and data access controls to prevent LLMs from disclosing confidential or sensitive information in generated outputs [#29][#13].,,,,,,,,,X,,,,,,,,X,
OWASP-3,OWASP Top 10 LLM,SECURITY,LLM03 Supply Chain Vulnerabilities: LLM pipelines depend on third-party components with potential vulnerabilities.,Trust Readiness,"Firms must establish and enforce supply chain risk management controls to assess, monitor, and mitigate vulnerabilities arising from third-party components in LLM pipelines [#29][#25].",,,,,,,,,,,,,,,,X,,
OWASP-4,OWASP Top 10 LLM,SECURITY,LLM04 Data and Model Poisoning: Training data or model weights manipulated to introduce vulnerabilities.,Integration Readiness,"Organisations must implement rigorous data governance and MLOps lifecycle controls to detect, prevent, and remediate data or model poisoning attempts throughout the LLM development and deployment process [#29][#11].",,,,,,,X,,,,,,,,,,X,
OWASP-5,OWASP Top 10 LLM,SECURITY,LLM05 Improper Output Handling: Insufficient validation of LLM outputs before passing to downstream systems.,Integration Readiness,Enterprises must deploy output validation and monitoring infrastructure to ensure that LLM-generated outputs are systematically checked for correctness and safety before being passed to downstream systems [#29][#11].,,,,,X,,,X,,,,,,,,,,
OWASP-6,OWASP Top 10 LLM,SECURITY,LLM06 Excessive Agency: LLM agents granted excessive permissions or autonomy beyond what is needed.,Integration Readiness,Organisations must enforce least-privilege access boundaries for LLM agents and implement human-in-the-loop approval gates to prevent agents from exceeding their intended scope of action [#29][#15].,,,X,X,,,,,,,,,,,,,,
OWASP-7,OWASP Top 10 LLM,SECURITY,LLM07 System Prompt Leakage: System prompts containing sensitive instructions are exposed.,Integration Readiness,Organisations must implement secure prompt management and secret handling protocols to prevent exposure of sensitive system prompts and instructions in LLM applications [#29][#11].,,,,,,,,,X,,,,,,,,,
OWASP-8,OWASP Top 10 LLM,SECURITY,LLM08 Vector and Embedding Weaknesses: Vulnerabilities in vector stores and embedding pipelines.,Integration Readiness,"Enterprises must architect secure RAG pipelines and enforce data governance controls to mitigate vulnerabilities in vector stores and embedding pipelines, ensuring data integrity and access security [#29][#13].",,,,,,X,,,,,,,,,,,X,
OWASP-9,OWASP Top 10 LLM,SECURITY,LLM09 Misinformation: LLMs produce factually incorrect content presented as authoritative.,Integration Readiness,"Organizations must implement retrieval-augmented generation (RAG) pipelines and robust output validation mechanisms to ensure LLM responses are grounded in authoritative data and systematically monitored for factual accuracy, thereby reducing the risk of misinformation being presented as authoritative content [#13][#11][#29].",,,,,X,X,,X,,,,,,,,,,
OWASP-10,OWASP Top 10 LLM,SECURITY,LLM10 Unbounded Consumption: LLM applications vulnerable to resource exhaustion and denial-of-service.,Integration Readiness,"To prevent unbounded resource consumption and denial-of-service vulnerabilities in LLM applications, organizations must deploy real-time monitoring infrastructure and adopt scalable, modular architectural patterns that enable resource isolation and dynamic throttling [#11][#10][#29].",,,,,,,,X,,X,,,,,,,,
