case_study_id,name,incident_date,type,actor,target,summary,tactics_used,techniques_used,technique_count,competency_domains,sub_competency_ids,missing_controls,competency_gaps,harm_type,llm_gap_description,llm_sub_competencies,failure_mode,failure_mode_reasoning,trust_integration_split,split_reasoning,chain_of_thought
AML.CS0010,Microsoft Azure Service Disruption,2020-01-01,exercise,Microsoft AI Red Team,Internal Microsoft Azure Service,"The Microsoft AI Red Team performed a red team exercise on an internal Azure service with the intention of disrupting its service. This operation had a combination of traditional ATT&CK enterprise techniques such as finding valid account, and exfiltrating data -- all interleaved with adversarial ML specific steps such as offline and online evasion examples.",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0004; AML.TA0009; AML.TA0010; AML.TA0011,AML.T0000; AML.T0012; AML.T0015; AML.T0025; AML.T0035; AML.T0040; AML.T0042; AML.T0043.000,8,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; TR-1; TR-2; TR-4; TR-6,AML.M0001: Limit Model Artifact Release; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0012: Encrypt Sensitive Information; AML.M0017: AI Model Distribution Methods; AML.M0019: Control Access to AI Models and Data in Production; AML.M0024: AI Telemetry Logging,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,The organization lacked mature ML lifecycle controls and AI governance policies to prevent unauthorized access and data leakage in AI systems.,IR-1; TR-1,prevention_failure,No controls existed to block unauthorized access and exfiltration of AI models and data.,both,Both governance gaps (policy and risk management) and architectural gaps (lack of technical controls and telemetry) contributed equally to the incident.,"The Microsoft AI Red Team exercise revealed that internal Azure services were vulnerable to combined traditional and adversarial ML attacks due to lack of controls like model artifact release limits and telemetry logging. The absence of these controls allowed unauthorized access and data exfiltration, indicating a prevention failure."
AML.CS0011,Microsoft Edge AI Evasion,2020-02-01,exercise,Azure Red Team,New Microsoft AI Product,The Azure Red Team performed a red team exercise on a new Microsoft product designed for running AI workloads at the edge. This exercise was meant to use an automated system to continuously manipulate a target image to cause the ML model to produce misclassifications. ,AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0011,AML.T0000; AML.T0002; AML.T0015; AML.T0040; AML.T0043.001,5,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-6,AML.M0019: Control Access to AI Models and Data in Production; AML.M0024: AI Telemetry Logging; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,reliability,Insufficient technical controls and governance policies to harden models and monitor AI behavior at the edge led to vulnerability to evasion attacks.,IR-3; TR-3,prevention_failure,No effective controls were in place to prevent or detect adversarial manipulation of model inputs.,both,Both missing governance policies and architectural safeguards were necessary to prevent the evasion attack.,"The Azure Red Team's exercise on an edge AI product showed that continuous adversarial manipulation caused misclassifications due to missing controls like model hardening and telemetry logging. The lack of these defenses allowed the attack to succeed without detection, a prevention failure."
AML.CS0012,Face Identification System Evasion via Physical Countermeasures,2020-01-01,exercise,MITRE AI Red Team,Commercial Face Identification Service,MITRE's AI Red Team demonstrated a physical-domain evasion attack on a commercial face identification service with the intention of inducing a targeted misclassification. This operation had a combination of traditional MITRE ATT&CK techniques such as finding valid accounts and executing code via an API - all interleaved with adversarial ML specific attacks.,AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0008; AML.TA0011,AML.T0000; AML.T0002.000; AML.T0005; AML.T0008.003; AML.T0012; AML.T0013; AML.T0015; AML.T0040; AML.T0041; AML.T0043.000,10,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-6,AML.M0001: Limit Model Artifact Release; AML.M0002: Passive AI Output Obfuscation; AML.M0004: Restrict Number of AI Model Queries; AML.M0000: Limit Public Release of Information; AML.M0019: Control Access to AI Models and Data in Production; AML.M0024: AI Telemetry Logging,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,reliability,The system lacked integrated lifecycle controls and governance policies to limit model exposure and detect adversarial physical attacks.,IR-1; TR-4,prevention_failure,No controls existed to limit queries or monitor suspicious activity enabling evasion.,both,Both governance (policy on model access) and architecture (technical query limits and telemetry) were missing.,"MITRE's red team demonstrated physical evasion attacks on face ID systems exploiting lack of controls such as query restrictions and telemetry logging. The absence of these controls allowed targeted misclassification, indicating a prevention failure."
AML.CS0013,Backdoor Attack on Deep Learning Models in Mobile Apps,2021-01-18,exercise,"Yuanchun Li, Jiayi Hua, Haoyu Wang, Chunyang Chen, Yunxin Liu",ML-based Android Apps,"Deep learning models are increasingly used in mobile applications as critical components. Researchers from Microsoft Research demonstrated that many deep learning models deployed in mobile apps are vulnerable to backdoor attacks via ""neural payload injection."" They conducted an empirical study on real-world mobile deep learning apps collected from Google Play. They identified 54 apps that were vul",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0006; AML.TA0011,AML.T0002.001; AML.T0004; AML.T0010.003; AML.T0015; AML.T0017.000; AML.T0018.001; AML.T0041; AML.T0042; AML.T0043.004; AML.T0044,10,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-3; TR-6,AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0034: Deepfake Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,Lack of robust ML lifecycle controls and governance policies to detect and prevent backdoor attacks in deployed models.,IR-1; TR-6,prevention_failure,No effective controls existed to prevent or detect backdoor neural payload injections.,both,Both governance policies and technical model hardening were necessary to prevent the attack.,"Researchers showed that deep learning models in mobile apps were vulnerable to backdoor attacks due to missing controls like model hardening and adversarial input detection. These missing controls allowed neural payload injection, a prevention failure."
AML.CS0014,Confusing Antimalware Neural Networks,2021-06-23,exercise,Kaspersky ML Research Team,Kaspersky's Antimalware ML Model,"Cloud storage and computations have become popular platforms for deploying ML malware detectors. In such cases, the features for models are built on users' systems and then sent to cybersecurity company servers. The Kaspersky ML research team explored this gray-box scenario and showed that feature knowledge is enough for an adversarial attack on ML models.  They attacked one of Kaspersky's antimal",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0003; AML.TA0007,AML.T0001; AML.T0002.000; AML.T0003; AML.T0005; AML.T0015; AML.T0017.000; AML.T0042; AML.T0043.002; AML.T0047,9,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; IR-6; TR-1; TR-2; TR-3,AML.M0001: Limit Model Artifact Release; AML.M0000: Limit Public Release of Information; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,reliability,Insufficient ML lifecycle controls and governance policies to harden models and detect adversarial inputs in cybersecurity applications.,IR-3; TR-3,prevention_failure,No controls existed to prevent or detect adversarial manipulation of model inputs.,both,Both governance and architectural controls were needed to prevent evasion of ML malware detectors.,"Kaspersky's research showed that ML malware detectors could be confused due to missing controls like model hardening and adversarial input detection. The absence of these controls allowed adversaries to evade detection, a prevention failure."
AML.CS0015,Compromised PyTorch Dependency Chain,2022-12-25,incident,Unknown,PyTorch,"Linux packages for PyTorch's pre-release version, called Pytorch-nightly, were compromised from December 25 to 30, 2022 by a malicious binary uploaded to the Python Package Index (PyPI) code repository.  The malicious binary had the same name as a PyTorch dependency and the PyPI package manager (pip) installed this malicious package instead of the legitimate one.  This supply chain attack, also kn",AML.TA0004; AML.TA0009; AML.TA0010,AML.T0010.001; AML.T0025; AML.T0037,3,Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls,IR-2; TR-4,AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0005: Control Access to AI Models and Data at Rest,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,supply_chain,The organization lacked robust governance policies and technical controls for supply chain risk management and secure software distribution.,TR-8; IR-6,prevention_failure,No controls such as code signing or access restrictions existed to prevent malicious package uploads.,both,"Both governance policies for supply chain risk and technical controls like code signing were missing, causing the compromise.","The PyTorch-nightly package was compromised by a malicious binary uploaded to PyPI, exploiting the lack of code signing and access controls. No effective prevention controls like code signing or dependency verification were in place, allowing supply chain compromise."
AML.CS0016,Achieving Code Execution in MathGPT via Prompt Injection,2023-01-28,exercise,Ludwig-Ferdinand Stumpp,MathGPT (https://mathgpt.streamlit.app/),"The publicly available Streamlit application [MathGPT](https://mathgpt.streamlit.app/) uses GPT-3, a large language model (LLM), to answer user-generated math questions.  Recent studies and experiments have shown that LLMs such as GPT-3 show poor performance when it comes to performing exact math directly[<sup>\[1\]</sup>][1][<sup>\[2\]</sup>][2]. However, they can produce more accurate answers wh",AML.TA0000; AML.TA0001; AML.TA0002; AML.TA0004; AML.TA0005; AML.TA0011; AML.TA0013,AML.T0001; AML.T0029; AML.T0042; AML.T0047; AML.T0048.000; AML.T0051.000; AML.T0053; AML.T0055; AML.T0093,9,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Trust Readiness — Credential & Secret Management; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-1; IR-2; TR-1; TR-2; TR-4; TR-6,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0026: Privileged AI Agent Permissions Configuration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,There was a deficiency in both governance policies for AI usage and technical controls for input validation and monitoring in AI agent components.,IR-2; TR-1,prevention_failure,No input validation or guardrails existed to block malicious prompt injections before execution.,both,"Both policy-level AI governance and architectural input validation controls were missing, enabling the attack.","MathGPT was vulnerable to prompt injection attacks due to missing input validation, telemetry logging, and guardrails. The lack of prevention controls allowed attackers to execute arbitrary code via crafted prompts."
AML.CS0017,Bypassing ID.me Identity Verification,2020-10-01,incident,One individual,California Employment Development Department,An individual filed at least 180 false unemployment claims in the state of California from October 2020 to December 2021 by bypassing ID.me's automated identity verification system. Dozens of fraudulent claims were approved and the individual received at least $3.4 million in payments.  The individual collected several real identities and obtained fake driver licenses using the stolen personal det,AML.TA0000; AML.TA0004; AML.TA0011,AML.T0015; AML.T0047; AML.T0048.000,3,Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance,IR-2; TR-1; TR-6,AML.M0024: AI Telemetry Logging; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0009: Use Multi-Modal Sensors; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,security,"The incident exposed gaps in technical controls for model hardening and adversarial input detection, as well as cybersecurity governance to enforce robust identity verification.",IR-3; TR-3,prevention_failure,No effective controls existed to prevent or detect adversarial inputs that bypassed identity verification.,both,Both governance oversight and technical model hardening were insufficient to prevent fraudulent claims.,"An attacker bypassed ID.me's automated identity verification, filing fraudulent claims due to missing adversarial input detection and multi-modal sensor controls. Existing controls failed to detect or prevent the attack."
AML.CS0018,Arbitrary Code Execution with Google Colab,2022-07-01,exercise,Tony Piazza,Google Colab,"Google Colab is a Jupyter Notebook service that executes on virtual machines.  Jupyter Notebooks are often used for ML and data science research and experimentation, containing executable snippets of Python code and common Unix command-line functionality.  In addition to data manipulation and visualization, this code execution functionality can allow users to download arbitrary files from the inte",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0009; AML.TA0010; AML.TA0011,AML.T0010.001; AML.T0011; AML.T0012; AML.T0017; AML.T0025; AML.T0035; AML.T0048; AML.T0048.004,8,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-4; TR-6,AML.M0001: Limit Model Artifact Release; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0012: Encrypt Sensitive Information; AML.M0017: AI Model Distribution Methods; AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,There was a lack of governance policies and technical safeguards governing model distribution and access control in ML lifecycle management.,TR-1; IR-6,prevention_failure,No preventive controls existed to restrict or verify code execution and model artifact distribution.,both,"Both governance policies and architectural controls were missing, allowing arbitrary code execution.","Google Colab's execution environment allowed arbitrary code execution due to lack of controls on model artifact release, access control, and code signing. The absence of these controls enabled attackers to exploit the environment."
AML.CS0019,PoisonGPT,2023-07-01,exercise,Mithril Security Researchers,HuggingFace Users,"Researchers from Mithril Security demonstrated how to poison an open-source pre-trained large language model (LLM) to return a false fact. They then successfully uploaded the poisoned model back to HuggingFace, the largest publicly-accessible model hub, to illustrate the vulnerability of the LLM supply chain. Users could have downloaded the poisoned model, receiving and spreading poisoned data and",AML.TA0001; AML.TA0003; AML.TA0004; AML.TA0011,AML.T0002.001; AML.T0010.003; AML.T0018.000; AML.T0031; AML.T0042; AML.T0048.001; AML.T0058,7,Integration Readiness — AI Attack Staging Defense; Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery,IR-2; IR-6; TR-6,AML.M0023: AI Bill of Materials; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0005: Control Access to AI Models and Data at Rest,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,reliability,The incident highlights gaps in governance for model provenance and technical controls for model integrity and adversarial input detection.,TR-4; IR-1,prevention_failure,No controls existed to prevent poisoned models from being uploaded and distributed publicly.,both,Both governance policies for model provenance and architectural controls for model validation were lacking.,"Researchers demonstrated poisoning of an open-source LLM by uploading a manipulated model to a public hub, exploiting missing controls like AI Bill of Materials, model hardening, and access control. No preventive mechanisms blocked the poisoned model's distribution."
AML.CS0020,Indirect Prompt Injection Threats: Bing Chat Data Pirate,2023-01-01,exercise,"Kai Greshake, Saarland University",Microsoft Bing Chat,"Whenever interacting with Microsoft's new Bing Chat LLM Chatbot, a user can allow Bing Chat permission to view and access currently open websites throughout the chat session. Researchers demonstrated the ability for an attacker to plant an injection in a website the user is visiting, which silently turns Bing Chat into a Social Engineer who seeks out and exfiltrates personal information. The user ",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0007; AML.TA0011,AML.T0017; AML.T0048.003; AML.T0051.001; AML.T0052.000; AML.T0068,5,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-3; TR-6,AML.M0018: User Training; AML.M0034: Deepfake Detection; AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,"The organization lacked robust AI governance policies and technical controls to validate inputs and monitor AI agent behavior, reflecting gaps in both cybersecurity and AI lifecycle management.",IR-3; TR-6,prevention_failure,No existing controls such as input validation or telemetry logging were in place to prevent or detect the injection attack.,both,"The incident arose from missing governance policies and inadequate architectural safeguards, requiring both policy and engineering changes.","An attacker exploited Bing Chat's permission to access open websites by planting prompt injections on visited sites, leading to unauthorized manipulation of the chatbot. The absence of input validation and telemetry logging controls allowed this attack to succeed undetected. This indicates a lack of preventive technical controls and governance policies."
AML.CS0021,ChatGPT Conversation Exfiltration,2023-05-01,exercise,Embrace The Red,OpenAI ChatGPT,"[Embrace the Red](https://embracethered.com/blog/) demonstrated that ChatGPT users' conversations can be exfiltrated via an indirect prompt injection. To execute the attack, a threat actor uploads a malicious prompt to a public website, where a ChatGPT user may interact with it. The prompt causes ChatGPT to respond with the markdown for an image, whose URL has the user's conversation secretly embe",AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0010; AML.TA0011; AML.TA0012,AML.T0048.003; AML.T0051.001; AML.T0053; AML.T0065; AML.T0077; AML.T0078; AML.T0079,7,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery,IR-1; IR-2; IR-6; TR-4; TR-6,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0026: Privileged AI Agent Permissions Configuration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,privacy,"There was insufficient integration of AI lifecycle controls and cybersecurity policies to enforce guardrails and monitor AI agent permissions, leading to data leakage risks.",IR-2; TR-6,prevention_failure,"No effective controls existed to block or detect the exfiltration via prompt injection, indicating a prevention failure.",both,Both missing governance policies on AI permissions and lack of technical guardrails contributed to the incident.,"ChatGPT users' conversations were exfiltrated through indirect prompt injections hosted on public websites, exploiting the AI's lack of guardrails and permission controls. Missing telemetry and input/output validation allowed the attack to proceed unnoticed, highlighting gaps in both technical defenses and governance frameworks."
AML.CS0022,ChatGPT Package Hallucination,2024-06-01,exercise,"Vulcan Cyber, Lasso Security",ChatGPT users,Researchers identified that large language models such as ChatGPT can hallucinate fake software package names that are not published to a package repository. An attacker could publish a malicious package under the hallucinated name to a package repository. Then users of the same or similar large language models may encounter the same hallucination and ultimately download and execute the malicious ,AML.TA0000; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0008; AML.TA0011,AML.T0010.001; AML.T0011.001; AML.T0040; AML.T0048.003; AML.T0060; AML.T0062,6,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance,IR-1; IR-2; IR-6; TR-1; TR-2; TR-6,AML.M0019: Control Access to AI Models and Data in Production; AML.M0024: AI Telemetry Logging; AML.M0006: Use Ensemble Methods; AML.M0013: Code Signing; AML.M0011: Restrict Library Loading; AML.M0016: Vulnerability Scanning,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,The incident reveals gaps in AI governance policies and technical controls for managing software supply chain risks and ensuring code integrity.,IR-6; TR-8,prevention_failure,No controls like code signing or vulnerability scanning were in place to prevent malicious package introduction.,both,Both governance policies on supply chain risk and architectural controls for code validation were missing.,"ChatGPT hallucinated fake software package names, which attackers could exploit by publishing malicious packages under those names. The lack of controls such as code signing, library loading restrictions, and vulnerability scanning allowed this supply chain risk to manifest."
AML.CS0023,ShadowRay,2023-09-05,incident,Ray,Multiple systems,"Ray is an open-source Python framework for scaling production AI workflows. Ray's Job API allows for arbitrary remote execution by design. However, it does not offer authentication, and the default configuration may expose the cluster to the internet. Researchers at Oligo discovered that Ray clusters have been actively exploited for at least seven months. Adversaries can use victim organization's ",AML.TA0002; AML.TA0004; AML.TA0009; AML.TA0010; AML.TA0011; AML.TA0013,AML.T0006; AML.T0010.003; AML.T0025; AML.T0035; AML.T0048.000; AML.T0049; AML.T0055,7,Integration Readiness — Access Boundary & Initial Access Controls; Trust Readiness — Credential & Secret Management; Trust Readiness — Data Collection & Exfiltration Prevention; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-2; TR-2; TR-4; TR-6,AML.M0001: Limit Model Artifact Release; AML.M0005: Control Access to AI Models and Data at Rest; AML.M0012: Encrypt Sensitive Information; AML.M0017: AI Model Distribution Methods; AML.M0006: Use Ensemble Methods; AML.M0008: Validate AI Model,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,There was a failure to implement secure AI lifecycle controls and governance policies to restrict access and protect AI model artifacts.,IR-1; TR-1,prevention_failure,No authentication or access control mechanisms existed to prevent unauthorized remote execution.,both,Both missing governance policies and architectural safeguards contributed to the vulnerability.,"Ray's Job API allowed arbitrary remote execution without authentication, exposing clusters to internet attacks. The lack of access controls, encryption, and model validation led to multiple system compromises, showing critical architectural and governance failures."
AML.CS0024,Morris II Worm: RAG-Based Attack,2024-03-05,exercise,"Stav Cohen, Ron Bitton, Ben Nassi",RAG-based e-mail assistant,"Researchers developed Morris II, a zero-click worm designed to attack generative AI (GenAI) ecosystems and propagate between connected GenAI systems. The worm uses an adversarial self-replicating prompt which uses prompt injection to replicate the prompt as output and perform malicious activity. The researchers demonstrate how this worm can propagate through an email system with a RAG-based assist",AML.TA0000; AML.TA0005; AML.TA0006; AML.TA0010; AML.TA0011,AML.T0040; AML.T0048.003; AML.T0051.000; AML.T0051.002; AML.T0053; AML.T0057; AML.T0061,7,Integration Readiness — Execution Controls & Sandboxing; Trust Readiness — Data Exfiltration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring,IR-1; TR-1; TR-3; TR-4; TR-6,AML.M0019: Control Access to AI Models and Data in Production; AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,The incident highlights deficiencies in AI governance frameworks and technical lifecycle controls to detect and prevent adversarial prompt injections.,IR-3; TR-6,prevention_failure,No effective controls existed to block or detect the self-replicating prompt injection attack.,both,"Both governance policies and architectural controls were missing, enabling the worm's propagation.","The Morris II worm exploited prompt injection to self-replicate across connected generative AI systems, leveraging missing guardrails, input validation, and telemetry logging. This allowed the worm to propagate unchecked, indicating failures in both AI lifecycle controls and governance policies."
AML.CS0025,Web-Scale Data Poisoning: Split-View Attack,2024-06-06,exercise,"Researchers from Google Deepmind, ETH Zurich, NVIDIA, Robust Intelligence, and Google",10 web-scale datasets,"Many recent large-scale datasets are distributed as a list of URLs pointing to individual datapoints. The researchers show that many of these datasets are vulnerable to a ""split-view"" poisoning attack. The attack exploits the fact that the data viewed when it was initially collected may differ from the data viewed by a user during training. The researchers identify expired and buyable domains that",AML.TA0003; AML.TA0011,AML.T0002.000; AML.T0008.002; AML.T0019; AML.T0020; AML.T0031; AML.T0059,6,Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Impact Containment & Recovery,IR-6; TR-6,AML.M0001: Limit Model Artifact Release; AML.M0003: Model Hardening; AML.M0006: Use Ensemble Methods; AML.M0010: Input Restoration; AML.M0015: Adversarial Input Detection; AML.M0005: Control Access to AI Models and Data at Rest,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — AI Governance & Policy; Trust Readiness — Cybersecurity & Technical Controls,security,Organizations lacked robust AI governance policies and technical controls to ensure dataset integrity and model robustness against poisoning attacks.,TR-1; IR-3,prevention_failure,No controls existed to prevent poisoning via split-view attacks on web-scale datasets.,both,The root cause involved missing governance policies on dataset integrity and missing architectural controls like model hardening and input validation.,"The split-view poisoning attack exploited the dynamic nature of web-scale datasets where the data initially collected differed from what was later accessed, allowing poisoning without detection. The absence of controls like data provenance checks and model hardening meant no prevention existed. This is a classic prevention failure as no existing control blocked the attack."
AML.CS0026,Financial Transaction Hijacking with M365 Copilot as an Insider,2024-08-08,exercise,Zenity,Microsoft 365 Copilot,Researchers from Zenity conducted a red teaming exercise in August 2024 that successfully manipulated Microsoft 365 Copilot.[<sup>\[1\]</sup>][1] The attack abused the fact that Copilot ingests received emails into a retrieval augmented generation (RAG) database. The researchers sent an email that contained content designed to be retrieved by a user query as well as a prompt injection to manipulat,AML.TA0000; AML.TA0002; AML.TA0003; AML.TA0004; AML.TA0005; AML.TA0006; AML.TA0007; AML.TA0008; AML.TA0011; AML.TA0012,AML.T0047; AML.T0048.000; AML.T0051.001; AML.T0053; AML.T0064; AML.T0065; AML.T0066; AML.T0067.000; AML.T0068; AML.T0069.000; AML.T0069.001; AML.T0070; AML.T0071; AML.T0093,14,Integration Readiness — Access Boundary & Initial Access Controls; Integration Readiness — Execution Controls & Sandboxing; Integration Readiness — Privilege & Identity Management; Integration Readiness — Resource & Supply Chain Controls; Trust Readiness — Defense Evasion Detection; Trust Readiness — Discovery & Enumeration Controls; Trust Readiness — Impact Containment & Recovery; Trust Readiness — Model Access Governance; Trust Readiness — Persistence Detection & Monitoring; Trust Readiness — Threat Intelligence & Reconnaissance Defense,IR-1; IR-2; IR-6; TR-1; TR-2; TR-3; TR-6,AML.M0024: AI Telemetry Logging; AML.M0033: Input and Output Validation for AI Agent Components; AML.M0020: Generative AI Guardrails; AML.M0021: Generative AI Guidelines; AML.M0022: Generative AI Model Alignment; AML.M0026: Privileged AI Agent Permissions Configuration,Integration Readiness — ML Lifecycle & Model Controls; Trust Readiness — Cybersecurity & Technical Controls,security,"There was a lack of integrated AI lifecycle controls and cybersecurity policies to monitor, validate, and restrict AI agent inputs and permissions effectively.",IR-2; TR-6,prevention_failure,No effective controls existed to prevent or detect the malicious input manipulation of the AI agent.,both,Both governance gaps in cybersecurity controls and architectural gaps in input validation and telemetry contributed to the failure.,"The attack manipulated Microsoft 365 Copilot by injecting malicious emails that were ingested into its RAG database, enabling financial transaction hijacking. Missing controls such as AI telemetry logging, input/output validation, and guardrails meant the attack was not prevented or detected timely."
