competency_id,req_id,bundle,confidence,competency_statement,bundle_reasoning,applicable_controls,evidence_summary
COMP-16,NIST-MG-1,Trust Readiness,high,"Organizations must formalize and maintain an AI risk management plan, assigning clear accountability and ensuring regular oversight and updates as part of governance processes [#21, #25].","Developing and monitoring a risk management plan is a governance and policy-driven activity, not a technical build.",AI Risk Policy & Accountability Structures; GenAIOps / MLOps Lifecycle Governance,[#21] NIST AI RMF requires formal risk management planning and oversight.; [#25] COBIT for AI underscores the need for structured risk management plans and accountability.
COMP-17,NIST-MG-2,Trust Readiness,high,"Organizations must document and operationalize strategies to maximize AI benefits and mitigate negative impacts, ensuring these are embedded in governance and compliance frameworks [#21, #25].","This requirement is about planning, implementing, and documenting strategies for maximizing benefits and minimizing negative impacts, which is a policy and governance function.",AI Risk Policy & Accountability Structures; Regulatory Compliance Documentation,[#21] NIST AI RMF directly addresses the need for governance-driven strategies for risk and benefit management.; [#25] COBIT for AI and EU AI Act require documentation of compliance and benefit/risk strategies.
COMP-18,NIST-MG-3,Trust Readiness,high,"Organizations must implement structured oversight and risk management processes for third-party AI vendors and supply chain partners, ensuring alignment with internal governance standards [#21, #25].","Managing risks and benefits from third-party entities is a governance and oversight issue, not primarily a technical build.",Supply Chain & Vendor Risk Controls,[#21] NIST AI RMF highlights the need for governance of third-party risks.; [#25] COBIT for AI includes supply chain and vendor risk as part of governance.
COMP-19,NIST-MG-4,Trust Readiness,high,"Organizations must develop and maintain incident response and recovery playbooks for AI risks, with clear escalation and communication protocols embedded in governance structures [#21, #25].","This requirement is about establishing risk treatment, response, and communication plans, which are governance and policy-driven activities.",Incident Response & Recovery Playbooks; AI Risk Policy & Accountability Structures,[#21] NIST AI RMF requires formal response and recovery planning as part of governance.; [#25] COBIT for AI includes incident response and accountability as governance requirements.
COMP-20,NIST-GEN-1,Trust Readiness,high,"Organizations must establish and enforce policies that specifically address generative AI risks such as hallucination, data provenance, and synthetic content, ensuring these are reflected in both governance frameworks and technical controls [#22, #12, #13].","The requirement is about having policies to address GenAI-specific risks (hallucination, provenance, synthetic content), which is a governance and policy matter, though technical controls may be referenced.",AI Risk Policy & Accountability Structures; Data Governance & Access Controls; RAG Architecture & Data Grounding,[#22] NIST GenAI Profile requires policies for GenAI-specific risks.; [#12] IBM guidance highlights the need for data governance and provenance controls for GenAI.; [#13] AWS guidance links technical RAG/data grounding controls to governance of GenAI risks.
COMP-21,NIST-GEN-2,Trust Readiness,high,"Organizations must establish formal risk identification processes for agentic AI, including mapping prompt injection, tool misuse, and autonomy boundaries, and ensure these risks are incorporated into enterprise AI risk policies and oversight structures [#21][#15][#29].","The requirement is about identifying and mapping agentic AI risks (e.g., prompt injection, tool misuse, autonomy boundaries), which is fundamentally a governance and risk management activity—defining what must be governed and who is accountable, not how to technically enforce boundaries.",Tool-Use Boundaries & Least-Privilege Access; AI Risk Policy & Accountability Structures; Threat Modeling & Red-Teaming,"[#21] NIST AI RMF emphasizes the need for organizations to systematically identify and manage unique AI risks, including those specific to agentic systems.; [#29] OWASP explicitly calls for threat modeling and red-teaming to identify and address agentic AI risks such as prompt injection and tool misuse.; [#15] McKinsey highlights the need to define and govern agentic tool-use boundaries and access privileges as part of risk identification and management."
COMP-22,NIST-GEN-3,Integration Readiness,high,"Organizations need to implement robust evaluation and monitoring infrastructure capable of systematically measuring GenAI outputs for accuracy, bias, toxicity, and alignment with intended use, including automated output validation pipelines [#21][#11][#29].","The requirement is about technically evaluating GenAI outputs for accuracy, bias, toxicity, and alignment—this is primarily an engineering and operational capability, not a policy or governance structure.",Evaluation & Monitoring Infrastructure; Nondeterminism Controls & Output Validation,[#21] NIST AI RMF and LLMOps guidance both specify the need for technical infrastructure to evaluate and monitor GenAI outputs.; [#29] OWASP highlights the necessity of output validation controls to detect and mitigate problematic or unsafe outputs.
COMP-23,NIST-GEN-4,Integration Readiness,high,Organizations must implement human-in-the-loop approval gates and override mechanisms to ensure that high-stakes agentic AI decisions are subject to effective human review and intervention before execution [#21][#15][#26].,"This requirement is about the technical implementation of human oversight mechanisms for high-stakes agentic decisions, which is an engineering and operational control rather than a policy definition.",Human-in-the-Loop Approval Gates; Human Override & Control Mechanisms,[#15] McKinsey details the need for technical oversight and escalation mechanisms for agentic AI.; [#26] The EU AI Act mandates technical means for human intervention and override in high-risk AI systems.
COMP-24,EU-1,Trust Readiness,high,"High-risk AI deployments require a comprehensive risk management system embedded across the AI lifecycle, supported by formal governance structures and cross-functional accountability for risk identification, mitigation, and documentation [#26][#21][#25].","The requirement is for a risk management system throughout the lifecycle, which is a governance and policy structure (what must be managed, who is accountable), not a technical mechanism.",GenAIOps / MLOps Lifecycle Governance; AI Risk Policy & Accountability Structures,"[#26] The EU AI Act explicitly requires a documented, lifecycle-spanning risk management system.; [#21] NIST AI RMF and ISO/IEC 42001 reinforce the need for formal risk management and governance structures."
COMP-25,EU-2,Trust Readiness,high,"Organizations must establish and enforce comprehensive data governance policies, including data quality standards, provenance tracking, and access controls, to ensure that high-risk AI systems are trained and operated on high-quality, well-governed data [#26][#13][#12].","The requirement is for high-quality data and appropriate data governance, which is a policy and governance issue (what data standards and controls must exist), not a technical integration mechanism.",Data Governance & Access Controls,[#26] The EU AI Act mandates data governance and quality controls for high-risk AI systems.; [#13] AWS and IBM guidance reinforce the need for robust data governance and access controls for GenAI.
COMP-26,EU-3,Trust Readiness,high,Providers of high-risk AI systems must maintain comprehensive technical documentation that enables regulators and auditors to assess compliance with all applicable requirements throughout the system lifecycle [#26][#25].,"The requirement is for maintaining technical documentation sufficient to assess compliance, which is a governance and compliance documentation issue.",Regulatory Compliance Documentation,[#26] The EU AI Act explicitly requires technical documentation for compliance assessment.
COMP-27,EU-4,Integration Readiness,high,"High-risk AI systems must implement audit logging and telemetry infrastructure to record operational events, enabling traceability, incident investigation, and regulatory oversight [#26][#15].","The requirement is for technical logging of events throughout operation, which is a technical/engineering control, not a policy or governance structure.",Audit Logging & Telemetry,[#26] The EU AI Act mandates technical logging capabilities for high-risk AI systems.; [#15] McKinsey emphasizes the technical need for comprehensive audit logging in agentic AI.
COMP-28,EU-5,Trust Readiness,medium,"Providers must ensure that high-risk AI systems are transparent to deployers, supplying clear documentation and, where applicable, technical means to explain system behavior and data provenance [#26][#13].","The requirement is for transparency and information provision to deployers, which is primarily a governance and documentation issue, though technical transparency mechanisms may support it.",Regulatory Compliance Documentation; RAG Architecture & Data Grounding,[#26] The EU AI Act requires both documentation and technical transparency for high-risk AI.; [#13] AWS guidance supports technical transparency through RAG/data grounding.
COMP-29,EU-6,Integration Readiness,high,"High-risk AI systems must be engineered with effective human override and intervention mechanisms, ensuring that authorized personnel can monitor, intervene, and halt system operations when necessary [#26][#15].","The requirement is for technical mechanisms enabling human oversight, intervention, and override, which is an engineering/operations capability.",Human Override & Control Mechanisms; Human-in-the-Loop Approval Gates,[#26] The EU AI Act mandates technical means for human intervention and override.; [#15] McKinsey details the need for technical oversight and escalation mechanisms for agentic AI.
COMP-30,EU-7,Integration Readiness,high,"Organizations must implement technical controls for output validation, continuous monitoring, and robustness testing to ensure high-risk AI systems achieve and maintain appropriate levels of accuracy, reliability, and cybersecurity [#26][#29][#11].","The requirement is for technical achievement of accuracy, robustness, and cybersecurity, which is an engineering and operational capability.",Nondeterminism Controls & Output Validation; Evaluation & Monitoring Infrastructure,[#29] OWASP highlights the need for output validation and robustness controls for GenAI.; [#11] Microsoft LLMOps guidance specifies the need for technical monitoring and evaluation infrastructure.
COMP-31,EU-8,Trust Readiness,high,"Organisations must establish robust processes for maintaining comprehensive technical documentation and ensuring ongoing compliance with copyright law for GPAI models, supported by clear accountability structures and regulatory documentation practices [#26][#25].","The requirement is fundamentally about maintaining documentation and demonstrating compliance with legal obligations, which are governance and policy-driven activities rather than technical engineering tasks.",Technical Documentation & Regulatory Compliance Documentation; AI Risk Policy & Accountability Structures,[#26] Directly mandates documentation and legal compliance as a governance function.; [#25] Establishes the need for governance structures to ensure compliance and documentation.
COMP-32,EU-9,Integration Readiness,high,"Providers of GPAI models with systemic risk must implement adversarial testing frameworks, continuous monitoring infrastructure, and incident response protocols to detect, report, and mitigate emergent threats in line with regulatory expectations [#26][#15].",The primary demand is for technical mechanisms—adversarial testing and incident reporting—requiring engineering and operational controls to be built and maintained.,Threat Modeling & Red-Teaming; Incident Response & Recovery Playbooks; Evaluation & Monitoring Infrastructure,"[#26] Explicitly requires adversarial testing, which is operationalized through threat modeling and red-teaming.; [#15] Incident response playbooks are necessary for reporting and managing incidents as required by regulation.; [#15] Continuous monitoring is essential for detecting incidents and validating adversarial testing outcomes."
COMP-33,OWASP-1,Integration Readiness,high,"Enterprises must deploy robust prompt management systems and output validation mechanisms to detect and neutralize prompt injection attacks targeting LLMs, ensuring that crafted inputs cannot subvert intended model behavior [#29][#11].","Prompt injection is a technical vulnerability requiring engineering controls for prompt management and output validation, not primarily a policy or governance issue.",Prompt Management & Secret Handling; Nondeterminism Controls & Output Validation,[#29] Prompt management is directly cited as a mitigation for prompt injection.; [#11] Validating outputs is necessary to detect and prevent prompt injection effects.
COMP-34,OWASP-2,Integration Readiness,high,Organisations must implement fine-grained prompt management and data access controls to prevent LLMs from disclosing confidential or sensitive information in generated outputs [#29][#13].,"Preventing sensitive information disclosure is primarily a technical challenge, requiring controls on prompts and access to underlying data.",Prompt Management & Secret Handling; Data Governance & Access Controls,[#29] Prompt management is necessary to prevent inadvertent disclosure.; [#13] Data access controls are essential to prevent unauthorized disclosure.
COMP-35,OWASP-3,Trust Readiness,high,"Firms must establish and enforce supply chain risk management controls to assess, monitor, and mitigate vulnerabilities arising from third-party components in LLM pipelines [#29][#25].","Supply chain vulnerabilities are addressed through governance and oversight of third-party risk, making this primarily a policy and risk management concern.",Supply Chain & Vendor Risk Controls,[#29] Directly links supply chain vulnerabilities to the need for risk controls.; [#25] Highlights the governance need for oversight of external dependencies.
COMP-36,OWASP-4,Integration Readiness,high,"Organisations must implement rigorous data governance and MLOps lifecycle controls to detect, prevent, and remediate data or model poisoning attempts throughout the LLM development and deployment process [#29][#11].",Mitigating data and model poisoning requires technical controls in data pipelines and model lifecycle management.,Data Governance & Access Controls; GenAIOps / MLOps Lifecycle Governance,[#29] Data governance is essential to prevent and detect poisoning.; [#11] Lifecycle governance is necessary to ensure integrity at all stages.
COMP-37,OWASP-5,Integration Readiness,high,Enterprises must deploy output validation and monitoring infrastructure to ensure that LLM-generated outputs are systematically checked for correctness and safety before being passed to downstream systems [#29][#11].,"Improper output handling is a technical issue, requiring engineering of validation and monitoring mechanisms.",Nondeterminism Controls & Output Validation; Evaluation & Monitoring Infrastructure,[#29] Directly calls for output validation as a mitigation.; [#11] Monitoring is essential to detect and respond to improper outputs.
COMP-38,OWASP-6,Integration Readiness,high,Organisations must enforce least-privilege access boundaries for LLM agents and implement human-in-the-loop approval gates to prevent agents from exceeding their intended scope of action [#29][#15].,"Excessive agency is a technical risk, requiring engineering of access boundaries and human oversight mechanisms.",Tool-Use Boundaries & Least-Privilege Access; Human-in-the-Loop Approval Gates,[#29] Directly links excessive agency to the need for technical access controls.; [#15] Human oversight is necessary to prevent excessive or unsafe agent actions.
COMP-39,OWASP-7,Integration Readiness,high,Organisations must implement secure prompt management and secret handling protocols to prevent exposure of sensitive system prompts and instructions in LLM applications [#29][#11].,"System prompt leakage is a technical vulnerability, best addressed by engineering controls on prompt management and secret handling.",Prompt Management & Secret Handling,[#29] Prompt management is essential to prevent leakage of sensitive instructions.; [#11] Prompt access controls are necessary to prevent leakage.
COMP-40,OWASP-8,Integration Readiness,high,"Enterprises must architect secure RAG pipelines and enforce data governance controls to mitigate vulnerabilities in vector stores and embedding pipelines, ensuring data integrity and access security [#29][#13].",Vector and embedding weaknesses are technical risks requiring architectural and data governance controls.,RAG Architecture & Data Grounding; Data Governance & Access Controls,[#29] RAG architecture is directly implicated in vector store security.; [#13] Data governance and access controls are necessary to secure embeddings.
COMP-41,OWASP-9,Integration Readiness,high,"Organizations must implement retrieval-augmented generation (RAG) pipelines and robust output validation mechanisms to ensure LLM responses are grounded in authoritative data and systematically monitored for factual accuracy, thereby reducing the risk of misinformation being presented as authoritative content [#13][#11][#29].","The primary demand is for technical mechanisms to detect, prevent, and correct LLM-generated misinformation, which requires engineering investment in data grounding, output validation, and monitoring infrastructure rather than solely policy or governance structures.",RAG Architecture & Data Grounding; Nondeterminism Controls & Output Validation; Evaluation & Monitoring Infrastructure,"[#13] RAG architectures directly address the need to ground LLM outputs in reliable data, mitigating misinformation.; [#11] Output validation and evaluation mechanisms are required to detect and correct factual errors in LLM outputs.; [#29] Continuous monitoring and evaluation infrastructure is necessary to detect and respond to misinformation risks in LLM outputs."
COMP-42,OWASP-10,Integration Readiness,high,"To prevent unbounded resource consumption and denial-of-service vulnerabilities in LLM applications, organizations must deploy real-time monitoring infrastructure and adopt scalable, modular architectural patterns that enable resource isolation and dynamic throttling [#11][#10][#29].","The requirement is fundamentally about building technical safeguards—such as monitoring, resource management, and scalable architectures—to prevent and mitigate resource exhaustion and denial-of-service in LLM applications, rather than establishing policies or governance frameworks.",Evaluation & Monitoring Infrastructure; Scalable Modular Architecture (Archetypes),"[#11] Monitoring infrastructure is essential for detecting and responding to resource exhaustion and DoS attacks.; [#10] Modular, scalable architectures enable resource isolation and management, reducing the risk of unbounded consumption.; [#29] OWASP directly identifies monitoring and resource management as mitigation for unbounded consumption risks."
