exp_num,experiment_id,status,hypothesis,prior,prior_label,posterior,posterior_label,surprise,surprise_label,is_surprising,parent_id,n_children,runtime_s,created_at,objective,analysis_snippet,folder
11,node_3_2,SUCCEEDED,"Mitigation gaps related to 'Data' categories appear in significantly more incidents on average than mitigation gaps related to 'Model' or 'System' categories, suggesting data issues are the most pervasive root cause.",0.2823,Likely False,0.0723,Definitely False,-0.2437,Mild Negative (hypothesis weakened),True,node_2_2,1,154.5,2026-02-20T21:52:11.671291+00:00,Compare the frequency of varying mitigation gap categories in real-world incidents.,"The experiment successfully loaded 'step3_mitigation_gaps.csv' and identified three actual mitigation categories: 'Policy' (n=7), 'Technical - Cyber' (n=12), and 'Technical - ML' (n=16). While the hyp",EXP_011_node_3_2
12,node_3_3,SUCCEEDED,The presence of 'Prompt Injection' techniques in an incident is a significant predictor that the primary failure mode is a 'Prevention Failure' rather than a 'Detection' or 'Response' failure.,0.9597,Definitely True,0.4318,Maybe False,-0.6126,Strong Negative (hypothesis contradicted),True,node_2_0,2,202.4,2026-02-20T21:52:11.672710+00:00,Test if specific attack techniques force specific failure modes.,The experiment successfully analyzed the relationship between 'Prompt Injection' techniques and 'Prevention Failure' modes. The data reveals a significant class imbalance: 51 out of 52 incidents (98%),EXP_012_node_3_3
13,node_3_4,SUCCEEDED,The 'Human-in-the-Loop Approval Gates' architecture control is significantly more prevalent in 'Trust Readiness' governance requirements than in 'Integration Readiness' requirements.,0.8226,Likely True,0.2107,Likely False,-0.7101,Strong Negative (hypothesis contradicted),True,node_2_5,2,149.9,2026-02-20T21:55:35.554554+00:00,Verify if human oversight mechanisms are structurally bound to Trust competencies rather than Integration competencies.,The experiment successfully tested the hypothesis regarding the prevalence of 'Human-in-the-Loop Approval Gates'. The analysis revealed that this architecture control is present in 13.0% (3/23) of 'In,EXP_013_node_3_4
14,node_4_0,SUCCEEDED,The specific adversarial tactics associated with 'Integration Readiness' gaps occur with significantly higher frequency across the incident corpus than tactics associated with 'Trust Readiness' gaps.,0.5652,Maybe True,0.1283,Likely False,-0.5071,Strong Negative (hypothesis contradicted),True,node_3_0,2,167.5,2026-02-20T21:55:35.560153+00:00,Compare the prevalence of adversarial tactics between the two bundles.,"The experiment successfully analyzed `step3_tactic_frequency.csv` to compare the frequency of adversarial tactics associated with 'Trust Readiness' versus 'Integration Readiness'.

**Descriptive Stati",EXP_014_node_4_0
15,node_3_5,SUCCEEDED,Incidents that expose 'Integration Readiness' gaps involve a significantly higher number of adversarial techniques (higher complexity) than those exposing 'Trust Readiness' gaps.,0.7177,Likely True,0.3698,Maybe False,-0.4038,Strong Negative (hypothesis contradicted),True,node_2_1,3,177.6,2026-02-20T21:58:24.793981+00:00,Determine if technical engineering failures correlate with more complex multi-step attacks compared to policy failures.,The experiment successfully tested the hypothesis that incidents involving 'Integration Readiness' gaps (engineering failures) are associated with higher attack complexity (technique count) than 'Trus,EXP_015_node_3_5
16,node_4_1,SUCCEEDED,Adversarial tactics associated with the 'Integration' domain have a significantly higher frequency of occurrence in incidents than tactics associated with the 'Trust' domain.,0.2984,Likely False,0.2624,Likely False,-0.0418,Neutral (no significant belief shift),False,node_3_1,0,169.5,2026-02-20T21:58:24.795716+00:00,Evaluate the empirical frequency of tactics based on their mapped competency domain.,"The experiment successfully loaded the 'step3_tactic_frequency.csv' dataset and analyzed the frequency of 16 adversarial tactics categorized by competency domain.

**Findings:**
- **Integration Readin",EXP_016_node_4_1
17,node_4_2,SUCCEEDED,"There is a statistically significant positive temporal trend in AI incident complexity, with later incidents involving a higher number of distinct attack techniques.",0.7177,Likely True,0.9277,Definitely True,0.2437,Mild Positive (hypothesis somewhat supported),True,node_3_3,1,170.2,2026-02-20T22:01:23.899051+00:00,Test for an increase in attack complexity over time.,The experiment successfully validated the hypothesis that AI incident complexity is increasing over time. Analysis of 52 incidents from 'step3_incident_coding.csv' spanning 2016 to 2026 revealed a sta,EXP_017_node_4_2
18,node_3_6,SUCCEEDED,Integration Readiness competencies necessitate a significantly more complex architectural footprint (measured by the count of applicable controls) compared to Trust Readiness competencies.,0.4,Maybe False,0.2875,Likely False,-0.1306,Mild Negative (hypothesis weakened),True,node_2_0,2,171.6,2026-02-20T22:01:23.901368+00:00,Determine if Integration competencies differ structurally from Trust competencies by requiring a higher density of architecture controls.,The experiment successfully tested the hypothesis that Integration Readiness competencies require a significantly more complex architectural footprint than Trust Readiness competencies. The code loade,EXP_018_node_3_6
19,node_4_3,SUCCEEDED,"Incidents attributed to 'Trust Readiness' competency gaps are significantly more likely to result in 'Privacy' harms compared to 'Integration Readiness' gaps, which are predominantly associated with 'Security' harms.",0.7339,Likely True,0.343,Maybe False,-0.4537,Strong Negative (hypothesis contradicted),True,node_3_4,2,227.0,2026-02-20T22:04:16.927960+00:00,Verify if the type of competency gap (Trust vs Integration) predicts the specific category of harm using statistical association testing.,The experiment successfully tested the association between competency gap types (Trust vs. Integration) and harm types (Privacy vs. Security). Due to the high prevalence of incidents classified as 'bo,EXP_019_node_4_3
20,node_3_7,SUCCEEDED,"The 'Exfiltration' tactic is uniquely associated with 'Integration Readiness' gaps (lack of egress filtering), whereas 'Reconnaissance' is independent of competency bundle, indicating it is a universal precursor.",0.6129,Maybe True,0.1942,Likely False,-0.4859,Strong Negative (hypothesis contradicted),True,node_2_7,2,280.2,2026-02-20T22:04:16.930018+00:00,Validate the bundle-specificity of distinct adversarial tactics.,"The experiment successfully correlated adversarial tactics with competency bundle orientation using the correct MITRE ATLAS IDs (AML.TA0010 for Exfiltration, AML.TA0002 for Reconnaissance). The hypoth",EXP_020_node_3_7
21,node_4_4,SUCCEEDED,"The 'Audit Logging & Telemetry' architecture control is mapped to a significantly higher number of governance requirements than the average of all other controls, indicating its role as a foundational 'super-control'.",0.7742,Likely True,0.1983,Likely False,-0.6683,Strong Negative (hypothesis contradicted),True,node_3_2,1,213.1,2026-02-20T22:08:58.646822+00:00,Quantify the centrality of 'Audit Logging & Telemetry' compared to other controls.,The experiment successfully loaded 'step2_crosswalk_matrix.csv' and quantified the mapping frequency for all 18 architecture controls. Contrary to the hypothesis that 'Audit Logging & Telemetry' acts ,EXP_021_node_4_4
22,node_3_8,SUCCEEDED,"Competencies classified as 'Integration Readiness' require a significantly higher number of distinct architecture controls to implement than those classified as 'Trust Readiness', reflecting a higher technical complexity.",0.5333,Uncertain,0.3208,Maybe False,-0.2466,Mild Negative (hypothesis weakened),True,node_2_2,2,193.1,2026-02-20T22:08:58.648356+00:00,Compare the architectural 'density' (number of required controls) between the two competency bundles.,"The experiment was successfully executed. The 'step2_competency_statements.csv' dataset was loaded, and the 'control_count' feature was correctly derived by counting semicolon-separated entries in the",EXP_022_node_3_8
23,node_3_9,SUCCEEDED,"Trust Readiness competency statements map to a significantly higher number of unique architecture controls per statement than Integration Readiness statements, indicating that governance competencies are architecturally more diffuse/cross-cutting.",0.7328,Likely True,0.1912,Likely False,-0.6286,Strong Negative (hypothesis contradicted),True,node_2_3,2,180.1,2026-02-20T22:12:33.460679+00:00,Analyze the architectural density of different competency bundles.,The experiment successfully analyzed the architectural density of competency bundles using 'step2_competency_statements.csv'. The hypothesis that 'Trust Readiness' statements map to a significantly hi,EXP_023_node_3_9
24,node_3_10,SUCCEEDED,"Incidents classified as 'Detection Failures' or 'Response Failures' are significantly more likely to be mapped to 'Integration Readiness' gaps (lack of monitoring infrastructure) compared to 'Prevention Failures', which associate with 'Trust Readiness'.",0.7742,Likely True,0.5904,Maybe True,-0.2133,Mild Negative (hypothesis weakened),True,node_2_7,0,200.8,2026-02-20T22:12:33.464050+00:00,Link the ATLAS failure mode lifecycle (Prevent/Detect/Respond) to competency bundles.,"The experiment successfully processed the incident dataset to test the relationship between failure modes (Prevention vs. Post-Breach) and competency bundles. However, the analysis reveals that the da",EXP_024_node_3_10
25,node_4_5,SUCCEEDED,Theoretical propositions with 'High' confidence assessments are supported by a significantly higher quantity of empirical 'Atlas Evidence' than those with 'Medium' or 'Low' confidence.,0.8387,Likely True,0.7727,Likely True,-0.0766,Mild Negative (hypothesis weakened),False,node_3_9,0,131.9,2026-02-20T22:15:55.778492+00:00,Validate the internal consistency of the proposition confidence scoring.,"The experiment successfully tested the hypothesis regarding the correlation between proposition confidence and empirical evidence quantity. 

**Data Loading:** The dataset `step4_propositions.csv` was",EXP_025_node_4_5
26,node_3_11,SUCCEEDED,There is a positive correlation between the operational complexity of a sub-competency (measured by the number of its defined observable practices) and its frequency of implication in real-world AI incidents.,0.7097,Likely True,0.5739,Maybe True,-0.1576,Mild Negative (hypothesis weakened),True,node_2_3,0,332.1,2026-02-20T22:15:55.782118+00:00,To determine if sub-competencies that are more operationally complex (having more defined practices) are more prone to failure or gaps in real-world scenarios.,"The experiment was successfully executed, loading the datasets and merging them to identify 8 common sub-competencies. However, the calculated independent variable, 'Operational Complexity' (derived f",EXP_026_node_3_11
27,node_4_6,SUCCEEDED,There is a significant positive correlation between the number of architecture controls a requirement maps to (control density) and the evidence confidence of the resulting competency statement.,0.6452,Maybe True,0.1653,Likely False,-0.5569,Strong Negative (hypothesis contradicted),True,node_3_4,2,195.3,2026-02-20T22:21:29.454615+00:00,"Determine if highly specific, well-evidenced competencies drive more complex architectural requirements.",The experiment successfully analyzed the relationship between architecture control density and evidence confidence. The analysis of 42 competency statements yielded a Spearman correlation coefficient ,EXP_027_node_4_6
28,node_5_0,SUCCEEDED,"The mapping of governance requirements to architecture controls follows a Pareto distribution, where the top 20% of architecture controls address at least 80% of the total governance requirements.",0.7419,Likely True,0.1901,Likely False,-0.6405,Strong Negative (hypothesis contradicted),True,node_4_3,2,199.2,2026-02-20T22:21:29.457299+00:00,Verify if a small subset of 'keystone' architecture controls disproportionately satisfies governance obligations.,The experiment successfully tested the Pareto distribution hypothesis on the mapping between governance requirements and architecture controls. The analysis identified 18 unique architecture controls.,EXP_028_node_5_0
29,node_4_7,SUCCEEDED,"Incidents linked to 'Trust Readiness' deficiencies are significantly more likely to manifest as 'Prevention Failures', whereas 'Integration Readiness' deficiencies are more likely to manifest as 'Detection' or 'Response' failures.",0.7419,Likely True,0.3698,Maybe False,-0.4319,Strong Negative (hypothesis contradicted),True,node_3_0,2,331.9,2026-02-20T22:24:50.671116+00:00,To statistically validate whether governance-related (Trust) gaps correlate with prevention failures while engineering (Integration) gaps correlate with detection/response failures.,"The experiment successfully analyzed the relationship between readiness deficiencies and failure modes using the 6 incidents where a dominant gap was identified (4 'Integration-dominant', 2 'Trust-dom",EXP_029_node_4_7
30,node_3_12,SUCCEEDED,"Governance requirements derived from the 'NIST AI RMF' family map to a significantly higher number of architecture controls per requirement than those from the 'EU AI Act', suggesting a higher density of technical prescription in the NIST framework.",0.2903,Likely False,0.2603,Likely False,-0.0348,Neutral (no significant belief shift),False,node_2_6,1,221.3,2026-02-20T22:24:50.673605+00:00,Compare the 'Control Density' (number of mapped controls) between NIST-sourced and EU-sourced requirements.,The experiment successfully loaded the 'step2_crosswalk_matrix.csv' dataset and calculated the 'Control Density' for each governance requirement. The data was split into two groups: NIST-sourced requi,EXP_030_node_3_12
31,node_3_13,SUCCEEDED,"Incidents with distinct 'Trust' or 'Integration' dominance show different failure mode distributions (Prevention vs. Detection/Response), indicating a structural dependency between the nature of the competency gap and the incident lifecycle stage.",0.7419,Likely True,0.4876,Uncertain,-0.2952,Mild Negative (hypothesis weakened),True,node_2_2,2,247.0,2026-02-20T22:30:24.449015+00:00,Investigate if the nature of the competency gap (Trust-dominant vs. Integration-dominant) predicts how the failure manifests (Prevention vs. Detection/Response) by analyzing the subset of incidents with distinct dominances.,The experiment successfully loaded the 'step3_incident_coding.csv' dataset (n=52) and filtered for incidents with distinct competency dominances (excluding 'both'). The analysis revealed an extreme la,EXP_031_node_3_13
32,node_3_14,SUCCEEDED,"The 'Integration Readiness' bundle exhibits significantly higher internal cohesion (similarity between control mappings) than the 'Trust Readiness' bundle, implying that engineering requirements are more standardized while governance requirements are more heterogeneous.",0.7321,Likely True,0.1737,Likely False,-0.6481,Strong Negative (hypothesis contradicted),True,node_2_4,1,175.3,2026-02-20T22:30:24.450927+00:00,Quantify and compare the internal consistency of control mappings within each bundle.,"The experiment successfully calculated and compared the internal consistency of the two competency bundles. Contrary to the hypothesis that 'Integration Readiness' would exhibit higher cohesion, the r",EXP_032_node_3_14
33,node_3_15,SUCCEEDED,"Attacks that successfully trigger a 'Response Failure' are significantly more complex (higher technique count) than those resulting in 'Prevention Failure', suggesting that complex attacks are more likely to bypass initial defenses and require reactive mitigation.",0.7419,Likely True,0.7206,Likely True,-0.0248,Neutral (no significant belief shift),False,node_2_4,0,181.2,2026-02-20T22:34:32.969262+00:00,Assess the relationship between failure modes and attack complexity.,The experiment successfully loaded the dataset but revealed a critical data distribution issue that prevented testing the specific hypothesis regarding 'Response Failure'. The 'step3_incident_coding.c,EXP_033_node_3_15
34,node_4_8,SUCCEEDED,"The mapping of governance requirements to architecture controls follows a Pareto-like distribution, where a small minority of 'Keystone' controls accounts for a disproportionately large share of regulatory mappings.",0.8871,Likely True,0.9711,Definitely True,0.0975,Mild Positive (hypothesis somewhat supported),False,node_3_14,0,151.0,2026-02-20T22:34:32.971239+00:00,Assess the distribution of control applicability to identify potential bottlenecks or central hubs.,The experiment successfully tested the hypothesis that architecture control mappings follow a Pareto-like distribution. Analysis of 'step2_crosswalk_matrix.csv' revealed a total of 77 mappings across ,EXP_034_node_4_8
35,node_5_1,SUCCEEDED,"Sub-competencies classified under 'Integration Readiness' have significantly higher empirical validation (incident counts) than 'Trust Readiness' sub-competencies, suggesting that technical failures are more readily observed or reported than governance gaps.",0.7097,Likely True,0.1818,Likely False,-0.6126,Strong Negative (hypothesis contradicted),True,node_4_6,1,179.4,2026-02-20T22:37:35.714252+00:00,Compare the distribution of incident counts between the two competency bundles.,The experiment successfully compared the empirical validation (incident counts) of 'Integration Readiness' versus 'Trust Readiness' sub-competencies using the `step3_coverage_map.csv` dataset. The ana,EXP_035_node_5_1
36,node_6_0,SUCCEEDED,The distribution of failure modes (Prevention vs. Detection/Response) differs significantly between Trust-dominant and Integration-dominant incidents.,0.7581,Likely True,0.3802,Maybe False,-0.4386,Strong Negative (hypothesis contradicted),True,node_5_0,0,229.4,2026-02-20T22:37:35.715523+00:00,Assess if the nature of the competency gap (Trust vs Integration) influences whether the failure is a prevention failure or a detection/response failure.,The experiment successfully loaded the 'step3_incident_coding.csv' dataset and attempted to test the dependency between Incident Failure Mode (Prevention vs. Detection/Response) and Competency Gap Bun,EXP_036_node_6_0
37,node_3_16,SUCCEEDED,"Sub-competencies defined with greater semantic breadth (higher word count in definition) have significantly higher empirical incident coverage, suggesting that vague competencies artificially capture more failure cases.",0.7419,Likely True,0.376,Maybe False,-0.4247,Strong Negative (hypothesis contradicted),True,node_2_7,2,267.2,2026-02-20T22:41:27.663869+00:00,Assess if definition granularity biases incident mapping coverage.,"The experiment successfully tested the hypothesis linking definition semantic breadth (word count) to incident coverage. By merging 'step1_sub_competencies.csv' and 'step3_coverage_map.csv', 8 common ",EXP_037_node_3_16
38,node_4_9,SUCCEEDED,"The complexity of an AI attack, measured by the number of adversarial techniques employed, is positively correlated with the breadth of the organizational competency gap (number of missing sub-competencies).",0.6048,Maybe True,0.8988,Likely True,0.3411,Strong Positive (hypothesis strengthened),True,node_3_7,0,169.7,2026-02-20T22:41:27.704287+00:00,Determine if multi-step attacks expose a wider range of organizational deficits than simpler attacks.,The experiment successfully validated the hypothesis that attack complexity (measured by technique count) is strongly correlated with the breadth of organizational competency gaps. Analysis of the 52 ,EXP_038_node_4_9
39,node_5_2,SUCCEEDED,"Competency statements classified as 'Integration Readiness' are supported by a significantly higher density of literature evidence (citations) than 'Trust Readiness' statements, reflecting a larger volume of technical guidance compared to governance guidance.",0.7339,Likely True,0.188,Likely False,-0.6335,Strong Negative (hypothesis contradicted),True,node_4_0,1,208.9,2026-02-20T22:45:56.534109+00:00,Compare the empirical grounding strength between the two competency bundles.,"The experiment successfully analyzed the density of literature evidence supporting the two competency bundles. 

**Descriptive Statistics:**
- **Trust Readiness (n=19):** Mean = 2.21 citations, Std De",EXP_039_node_5_2
40,node_4_10,SUCCEEDED,"Incidents classified as involving 'Both' Trust and Integration failures (multi-domain) exhibit a significantly higher 'technique_count' than incidents classified as single-domain failures, supporting the theory that multi-domain failures represent more sophisticated threats.",0.7419,Likely True,0.1901,Likely False,-0.6405,Strong Negative (hypothesis contradicted),True,node_3_0,2,242.6,2026-02-20T22:45:56.535188+00:00,Assess whether the complexity of an attack (technique count) is associated with the breadth of the competency gap (single vs. dual bundle) using the correct file path.,"The experiment successfully analyzed the relationship between incident complexity (number of ATLAS techniques) and competency gap breadth (Multi-Domain vs. Single-Domain). 

**Descriptive Statistics:*",EXP_040_node_4_10
41,node_4_11,SUCCEEDED,"There is a statistically significant positive correlation between the incident date and the attack complexity (technique count), reflecting the increasing sophistication of adversarial AI threats over time.",0.621,Maybe True,0.9029,Definitely True,0.3272,Strong Positive (hypothesis strengthened),True,node_3_5,0,180.2,2026-02-20T22:50:00.976698+00:00,Analyze the temporal trend of attack complexity in AI incidents.,The experiment successfully analyzed the temporal trend of AI incident complexity using the 'step3_enrichments.json' dataset (n=52). The analysis confirmed a statistically significant positive correla,EXP_041_node_4_11
42,node_3_17,SUCCEEDED,"Governance requirements classified as 'Trust Readiness' map to a significantly higher number of architecture controls than 'Integration Readiness' requirements, indicating that governance interventions are structurally broader and more cross-cutting.",0.7419,Likely True,0.1901,Likely False,-0.6405,Strong Negative (hypothesis contradicted),True,node_2_1,3,195.9,2026-02-20T22:50:00.989530+00:00,Compare the architectural breadth (control density) of Trust vs. Integration requirements.,"The experiment successfully loaded 'step2_crosswalk_matrix.csv' and quantified the architectural breadth of governance requirements by summing the mapped controls for each row.

**Key Findings:**
- **",EXP_042_node_3_17
43,node_5_3,SUCCEEDED,"Incidents causing 'Security' harms are significantly more likely to involve simultaneous 'Both' (Trust & Integration) gaps compared to 'Reliability' incidents, which are more likely to be isolated to a single domain.",0.7419,Likely True,0.1963,Likely False,-0.6333,Strong Negative (hypothesis contradicted),True,node_4_7,1,354.3,2026-02-20T22:53:18.289795+00:00,To explore if security incidents are more systemic (involving both governance and engineering failures) compared to reliability incidents.,"The experiment successfully analyzed the relationship between 'harm_type' and the scope of competency gaps ('gap_scope') using the 'step3_incident_coding.csv' dataset. 

**Descriptive Statistics:**
- ",EXP_043_node_5_3
44,node_5_4,SUCCEEDED,"Incidents characterized by 'Security' harm types are significantly more likely to be classified as 'Prevention Failures' compared to Non-Security harms (Privacy, Reliability, etc.), which are more likely to be Detection/Response failures.",0.7419,Likely True,0.2,Likely False,-0.629,Strong Negative (hypothesis contradicted),True,node_4_10,1,322.0,2026-02-20T22:53:18.291850+00:00,Investigate the relationship between Harm Type and Failure Mode.,"The experiment was successfully executed, utilizing 'step3_incident_coding.csv' to test the relationship between Harm Type and Failure Mode. 

**Descriptive Statistics:**
- **Non-Security Harms:** n=1",EXP_044_node_5_4
45,node_4_12,SUCCEEDED,"The diagnostic complexity of AI incidents, measured by the length of the LLM's reasoning trace, is significantly higher for incidents involving both Trust and Integration failures compared to those with isolated failures.",0.7419,Likely True,0.1963,Likely False,-0.6333,Strong Negative (hypothesis contradicted),True,node_3_13,1,184.2,2026-02-20T22:59:14.703177+00:00,Use the length of the chain-of-thought analysis as a proxy for cognitive complexity and compare across failure types.,The experiment successfully loaded the 'step3_enrichments.json' dataset and performed an independent samples t-test to compare the length of the 'chain_of_thought' reasoning trace between incidents in,EXP_045_node_4_12
46,node_5_5,SUCCEEDED,"The 'Human-in-the-Loop Approval Gates' architecture control is mapped significantly more frequently to 'Trust Readiness' requirements than to 'Integration Readiness' requirements, statistically confirming its role as a governance-enforcing control rather than an engineering utility.",0.7903,Likely True,0.2025,Likely False,-0.6822,Strong Negative (hypothesis contradicted),True,node_4_4,1,221.5,2026-02-20T22:59:14.704752+00:00,Determine the bundle affinity of the 'Human-in-the-Loop Approval Gates' control.,The experiment successfully loaded 'step2_crosswalk_matrix.csv' and analyzed the bundle affinity of the 'Human-in-the-Loop Approval Gates' control. The hypothesis predicted that this control would be ,EXP_046_node_5_5
47,node_4_13,SUCCEEDED,"There is a significant structural alignment between source frameworks and competency bundles: regulatory frameworks (e.g., EU AI Act) disproportionately drive 'Trust Readiness', while technical frameworks (e.g., OWASP Top 10 LLM) drive 'Integration Readiness'.",0.9355,Definitely True,0.7975,Likely True,-0.1601,Mild Negative (hypothesis weakened),True,node_3_13,0,244.4,2026-02-20T23:02:58.374044+00:00,Test the independence between the source framework and the resulting competency bundle.,The experiment tested the hypothesis that regulatory frameworks (EU AI Act) align with 'Trust Readiness' while technical frameworks (OWASP Top 10 LLM) align with 'Integration Readiness'. The analysis ,EXP_047_node_4_13
48,node_5_6,SUCCEEDED,Incidents involving 'Both' Trust and Integration failures exhibit higher attack sophistication (measured by technique count) than those involving single-domain failures.,0.7419,Likely True,0.2087,Likely False,-0.6189,Strong Negative (hypothesis contradicted),True,node_4_12,0,158.1,2026-02-20T23:02:58.375397+00:00,Investigate if multi-domain failures correlate with more complex attacks.,The experiment successfully tested the hypothesis that incidents involving multi-domain failures ('Both' Trust and Integration gaps) exhibit higher attack sophistication than single-domain failures. U,EXP_048_node_5_6
49,node_5_7,SUCCEEDED,"The 'Audit Logging & Telemetry' architecture control is significantly more prevalent in 'Trust Readiness' requirements than in 'Integration Readiness' requirements, serving as a primary mechanism for governance verification.",0.7984,Likely True,0.2045,Likely False,-0.6892,Strong Negative (hypothesis contradicted),True,node_4_6,1,212.0,2026-02-20T23:07:04.766382+00:00,Verify if observability controls are structurally biased towards governance bundles by comparing the frequency of the 'Audit Logging & Telemetry' control in 'Trust Readiness' versus 'Integration Readiness' requirements.,The experiment successfully analyzed the prevalence of 'Audit Logging & Telemetry' in 'step2_crosswalk_matrix.csv' after correcting the file path. The data reveals that this architecture control is ex,EXP_049_node_5_7
